"department","courseNum","courseTitle","sectionNum","courseType","callNum","meetingTime","meetingLocation","instructor","startEndDate"
"AED",270,"Introduction to Visual Culture and Learning",1,"LEC",1137,"WeFr 12:30PM - 1:45PM","Lord Hall 200","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",473,"Advanced Curriculum in Art Education",1,"LEC",1138,"Fr 3:00PM - 5:30PM","Lord Hall 202","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",474,"Topics in Art Education",1,"LEC",1139,"We 4:30PM - 7:00PM","Lord Hall 205","Constant K Albertson","1/10/2011 - 4/29/2011"
"AED",496,"Field Experience in Art Education",1,"FEX",1140,"TBA","TBA","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",497,"Independent Study in Art Education",1,"IND",1141,"TBA","TBA","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",497,"Independent Study in Art Education",2,"IND",1142,"TBA","TBA","Constant K Albertson","1/10/2011 - 4/29/2011"
"AED",498,"Directed Study in Art Education",1,"IND",1143,"TBA","TBA","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",498,"Directed Study in Art Education",2,"IND",1144,"TBA","TBA","Constant K Albertson","1/10/2011 - 4/29/2011"
"AED",574,"Topics in Art Education",1,"LEC",1145,"We 4:30PM - 7:00PM","Lord Hall 205","Constant K Albertson","1/10/2011 - 4/29/2011"
"AED",597,"Independent Study in Art Education",1,"IND",1146,"TBA","TBA","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",597,"Independent Study in Art Education",2,"IND",3128,"TBA","TBA","Constant K Albertson","1/10/2011 - 4/29/2011"
"AED",598,"Directed Study in Art Education",1,"IND",1147,"TBA","TBA","Laurie E Hicks","1/10/2011 - 4/29/2011"
"AED",598,"Directed Study in Art Education",2,"IND",3129,"TBA","TBA","Constant K Albertson","1/10/2011 - 4/29/2011"
"ANT",102,"Introduction to Anthropology: Diversity of Cultures",1,"LEC",1185,"TuTh 9:30AM - 10:45AM","Neville Hall 101","Veronica C Ocampo-Raeder","1/10/2011 - 4/29/2011"
"ANT",102,"Introduction to Anthropology: Diversity of Cultures",2,"LEC",1186,"TuTh 11:00AM - 12:15PM","Neville Hall 101","Veronica C Ocampo-Raeder","1/10/2011 - 4/29/2011"
"ANT",120,"Religions of the World",990,"LEC",1004,"TBA","TBA",,"1/10/2011 - 4/29/2011"
"ANT",140,"Cities of the Ancient World",990,"LEC",13528,"TBA","On-line Course","Gregory D Zaro","1/10/2011 - 4/29/2011"
"ANT",249,"Religion and Violence",1,"LEC",1206,"Tu 3:30PM - 6:00PM","Little Hall 140","Henry L Munson","1/10/2011 - 4/29/2011"
"ANT",260,"Forensic Anthropology",500,"LEC",7364,"TuTh 12:30PM - 1:45PM","Little Hall 130","Marcella H Sorg","1/10/2011 - 4/29/2011"
"ANT",300,"Basic Theory in Cultural Anthropology",1,"LEC",1198,"Mo 3:10PM - 5:40PM","Stevens Hall South 104A","Lisa K Neuman","1/10/2011 - 4/29/2011"
"ANT",317,"Fundamentals of Archaeology",1,"LEC",1203,"MoWeFr 10:00AM - 10:50AM","Merrill Hall 330","Kurt M Rademaker","1/10/2011 - 4/29/2011"
"ANT",420,"Human Impacts on Ancient Environments",1,"LEC",7358,"TuTh 2:00PM - 3:15PM","Stevens Hall South 232A","Gregory D Zaro","1/10/2011 - 4/29/2011"
"ANT",430,"Who Owns Native Cultures?",1,"LEC",12855,"We 6:00PM - 8:30PM","Stevens Hall South 232A","Darren J Ranco","1/10/2011 - 4/29/2011"
"ANT",431,"Folklore",990,"LEC",1124,"TBA","On-line Course","Pauleena M Macdougall","1/10/2011 - 4/29/2011"
"ANT",435,"Human Dimensions of Natural Resource Management",1,"LEC",13407,"MoWeFr 9:00AM - 9:50AM","Neville Hall 227","Samuel Hanes","1/10/2011 - 4/29/2011"
"ANT",462,"Numerical Methods in Anthropology",1,"LEC",3437,"TuTh 9:30AM - 10:45AM","Stevens Hall North 117","Paul B Roscoe","1/10/2011 - 4/29/2011"
"ANT",467,"Peasant Studies",1,"LEC",7360,"TuTh 11:00AM - 12:15PM","Stevens Hall North 119","James M Acheson","1/10/2011 - 4/29/2011"
"ANT",470,"Religion and Politics",1,"LEC",7361,"Mo 6:00PM - 8:30PM","Stevens Hall South 104A","Henry L Munson","1/10/2011 - 4/29/2011"
"ANT",490,"Topics in Anthropology",1,"LEC",7362,"Th 6:00PM - 8:30PM","Stevens Hall South 232A","Paul B Roscoe","1/10/2011 - 4/29/2011"
"ANT",492,"Capstone in Anthropology",1,"IND",3395,"TBA","TBA",,"1/10/2011 - 4/29/2011"
"ANT",497,"Department Projects",1,"IND",2121,"TBA","TBA",,"1/10/2011 - 4/29/2011"
"ANT",497,"Department Projects",2,"IND",3992,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ANT",597,"Advanced Topics in Anthropology",1,"IND",2127,"TBA","TBA",,"1/10/2011 - 4/29/2011"
"ANT",597,"Advanced Topics in Anthropology",2,"IND",2128,"Th 6:00PM - 8:30PM","Stevens Hall South 232A","Paul B Roscoe","1/10/2011 - 4/29/2011"
"ANT",597,"Advanced Topics in Anthropology",3,"IND",14298,"TBA","TBA","Brian S Robinson","1/10/2011 - 4/29/2011"
"ARH",100,"Art and Human Experience",500,"LEC",3111,"MoWe 11:00AM - 12:15PM","Lord Hall 100","Karen A Linehan","1/10/2011 - 4/29/2011"
"ARH",100,"Art and Human Experience",665,"LEC",9880,"Fr 10:00AM - 12:30PM","Frederick Hutchinson Cent 127","Karen A Linehan","1/10/2011 - 4/29/2011"
"ARH",155,"Art History I",1,"LEC",1149,"TuTh 9:30AM - 10:45AM","Lord Hall 100","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",155,"Art History I",990,"LEC",1003,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",156,"Art History II",1,"LEC",1150,"MoWe 9:30AM - 10:45AM","Lord Hall 100","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",156,"Art History II",500,"LEC",3112,"TuTh 11:00AM - 12:15PM","Lord Hall 100","Karen A Linehan","1/10/2011 - 4/29/2011"
"ARH",262,"Early Modern Art: From Fauvism to Surrealism",1,"LEC",7626,"MoWe 11:00AM - 12:15PM","Lord Hall 200","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",270,"Topical Survey in History of Art",1,"LEC",8111,"TuTh 3:30PM - 4:45PM","Lord Hall 100","Karen A Linehan","1/10/2011 - 4/29/2011"
"ARH",366,"Twentieth Century Art and Architecture Seminar",1,"SEM",7627,"We 3:10PM - 5:40PM","Lord Hall 225","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",369,"Film and Video Theory Seminar",990,"SEM",1095,"TBA","On-line Course","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",397,"Independent Study in Art History",1,"IND",1162,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ARH",397,"Independent Study in Art History",2,"IND",1163,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",397,"Independent Study in Art History",3,"IND",3130,"TBA","TBA","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",397,"Independent Study in Art History",4,"IND",3228,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ARH",398,"Directed Study in Art History",1,"IND",1164,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ARH",398,"Directed Study in Art History",2,"IND",1165,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",398,"Directed Study in Art History",3,"IND",3131,"TBA","TBA","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",493,"Medieval Research Seminar",1,"SEM",7628,"Tu 12:30PM - 3:00PM","Lord Hall 200","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",496,"Field Experience in Art History",1,"FEX",1181,"TBA","TBA","Susan H Groce","1/10/2011 - 4/29/2011"
"ARH",497,"Independent Study in Art History",1,"IND",1182,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ARH",497,"Independent Study in Art History",2,"IND",1183,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",497,"Independent Study in Art History",3,"IND",3132,"TBA","TBA","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",498,"Directed Study in Art History",1,"IND",1184,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ARH",498,"Directed Study in Art History",2,"IND",1187,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",498,"Directed Study in Art History",3,"IND",3133,"TBA","TBA","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",499,"Capstone Experience in History of Art",2,"IND",1189,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",499,"Capstone Experience in History of Art",3,"IND",3134,"TBA","TBA","Justin Wolff","1/10/2011 - 4/29/2011"
"ARH",597,"Independent Graduate Study",1,"IND",1190,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ARH",597,"Independent Graduate Study",2,"IND",1191,"TBA","TBA","Owen F Smith","1/10/2011 - 4/29/2011"
"ARH",597,"Independent Graduate Study",3,"IND",3135,"TBA","TBA","Justin Wolff","1/10/2011 - 4/29/2011"
"ARP",100,"Academic Recovery Seminar",1,"SEM",3658,"Mo 11:00AM - 11:50AM","Merrill Hall 114","Dominick Varney","1/17/2011 - 4/29/2011"
"ARP",100,"Academic Recovery Seminar",2,"SEM",3659,"We 11:00AM - 11:50AM","Merrill Hall 114","Julie S Loppacher","1/17/2011 - 4/29/2011"
"ARP",100,"Academic Recovery Seminar",3,"SEM",3660,"Fr 11:00AM - 11:50AM","Merrill Hall 114","Ethellena Hill","1/17/2011 - 4/29/2011"
"ARP",100,"Academic Recovery Seminar",4,"SEM",3661,"Mo 12:00PM - 12:50PM","Merrill Hall 114","Julie S Loppacher","1/17/2011 - 4/29/2011"
"ARP",100,"Academic Recovery Seminar",5,"SEM",3662,"We 12:00PM - 12:50PM","Merrill Hall 114","Dominick Varney","1/17/2011 - 4/29/2011"
"ARP",100,"Academic Recovery Seminar",6,"SEM",3663,"Fr 12:00PM - 12:50PM","Merrill Hall 114","Ethellena Hill","1/17/2011 - 4/29/2011"
"ART",597,"Independent Study in Studio Art",1,"IND",1349,"TBA","TBA","Owen F Smith","1/10/2011 - 4/29/2011"
"ART",597,"Independent Study in Studio Art",2,"IND",1350,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"ART",597,"Independent Study in Studio Art",3,"IND",1351,"TBA","TBA","Michael H Lewis","1/10/2011 - 4/29/2011"
"ART",597,"Independent Study in Studio Art",4,"IND",1352,"TBA","TBA","Michael H Grillo","1/10/2011 - 4/29/2011"
"ART",597,"Independent Study in Studio Art",5,"IND",3280,"TBA","TBA","Andrea L Mauery","1/10/2011 - 4/29/2011"
"AST",109,"Introduction to Astronomy",1,"LEC",2684,"TuTh 2:00PM - 3:15PM","Bennett Hall 137","David J Batuski","1/10/2011 - 4/29/2011"
"AST",109,"Introduction to Astronomy",990,"LEC",1039,"TBA","TBA",,"1/10/2011 - 4/29/2011"
"AST",110,"Introduction to Astronomy Laboratory",1,"LAB",2685,"Mo 6:10PM - 8:00PM","Bennett Hall 302","Merida Batiste","1/10/2011 - 4/29/2011"
"AST",110,"Introduction to Astronomy Laboratory",2,"LAB",2686,"Tu 6:00PM - 7:50PM","Bennett Hall 302","Lei Li","1/10/2011 - 4/29/2011"
"AST",110,"Introduction to Astronomy Laboratory",3,"LAB",2687,"We 4:10PM - 6:00PM","Bennett Hall 302","Merida Batiste","1/10/2011 - 4/29/2011"
"AST",110,"Introduction to Astronomy Laboratory",4,"LAB",2688,"We 6:10PM - 8:00PM","Bennett Hall 302","Lori Christine Spalsbury","1/10/2011 - 4/29/2011"
"AST",110,"Introduction to Astronomy Laboratory",5,"LAB",2689,"Th 10:00AM - 11:50AM","Bennett Hall 302","Lei Li","1/10/2011 - 4/29/2011"
"AST",110,"Introduction to Astronomy Laboratory",6,"LAB",2690,"Th 12:00PM - 1:50PM","Bennett Hall 302","Lori Christine Spalsbury","1/10/2011 - 4/29/2011"
"AST",215,"General Astronomy I",1,"LEC",7578,"TuTh 11:00AM - 12:15PM","Bennett Hall 102","Frank Dudish","1/10/2011 - 4/29/2011"
"AST",497,"Topics in Astrophysics",1,"IND",2693,"TBA","TBA","Staff","1/10/2011 - 4/29/2011"
"AST",598,"Special Topics in Theoretical or Experimental Astrophysics",1,"IND",2694,"TBA","TBA","Staff","TBA"
"AVS",151,"History of Veterinary Medicine",860,"LEC",1356,"Tu 6:00PM - 8:30PM","Rogers Hall 206","John D Blaisdell","1/10/2011 - 4/29/2011"
"AVS",153,"Animals and the Law",860,"LEC",1357,"We 6:00PM - 8:30PM","Rogers Hall 206","John D Blaisdell","1/10/2011 - 4/29/2011"
"AVS",200,"Topics in Animal and Veterinary Science",1,"LEC",1358,"Th 12:30PM - 1:45PM","Donald P Corbett Business 117","William R Congleton","1/10/2011 - 4/29/2011"
"AVS",200,"Topics in Animal and Veterinary Science",1001,"LAB",1359,"Th 12:30PM - 1:45PM","Donald P Corbett Business 111","William R Congleton","1/10/2011 - 2/4/2011"
"AVS",200,"Topics in Animal and Veterinary Science",1002,"LAB",1360,"Th 2:00PM - 3:15PM","Donald P Corbett Business 111","William R Congleton","1/10/2011 - 2/4/2011"
"AVS",203,"Equine Management",1,"LEC",1361,"TuTh 12:30PM - 1:45PM","Rogers Hall 206","James Weber","1/10/2011 - 4/29/2011"
"AVS",249,"Laboratory and Companion Animal Science",990,"LEC",12610,"TBA","On-line Course","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",253,"Principles of Western Riding",1,"LEC",13850,"Mo 1:00PM - 6:00PM","Arranged","Staff","1/10/2011 - 4/29/2011"
"AVS",303,"Equine Management Cooperative",1,"FEX",4298,"Tu 9:30AM - 12:15PM","Hitchner Hall 147","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",303,"Equine Management Cooperative",1001,"LAB",3812,"Mo 9:00AM - 10:50AM","Witter Center 140","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",303,"Equine Management Cooperative",1002,"LAB",3813,"Mo 11:00AM - 1:00PM","Witter Center 140","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",303,"Equine Management Cooperative",1003,"LAB",3814,"Th 9:30AM - 11:20AM","Witter Center 140","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",303,"Equine Management Cooperative",1004,"LAB",3815,"Th 11:30AM - 1:30PM","Witter Center 140","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",347,"Dairy Cattle Technology Laboratory",1,"LAB",1363,"Th 5:00PM - 7:00PM","Witter Center 138","David P Marcinkowski","1/10/2011 - 4/29/2011"
"AVS",349,"Livestock Management",1,"LEC",1364,"MoWeFr 12:10PM - 1:00PM","Rogers Hall 206","Charles R Wallace","1/10/2011 - 4/29/2011"
"AVS",351,"Animal Science Techniques",1,"LEC",1365,"Mo 1:10PM - 2:30PM","Rogers Hall 206","James Weber","1/10/2011 - 4/29/2011"
"AVS",351,"Animal Science Techniques",1001,"LAB",1366,"We 12:30PM - 3:30PM","Witter Center 140","James Weber","1/10/2011 - 4/29/2011"
"AVS",351,"Animal Science Techniques",1002,"LAB",1367,"We 2:10PM - 5:00PM","Witter Center 138","James Weber","1/10/2011 - 4/29/2011"
"AVS",353,"Equine Reproduction and Breeding Management",860,"LEC",1368,"Th 6:00PM - 9:00PM","Rogers Hall 206","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",368,"Independent Study in the Animal Sciences",1,"IND",1369,"TBA","TBA","William R Congleton","1/10/2011 - 4/29/2011"
"AVS",368,"Independent Study in the Animal Sciences",2,"IND",1370,"TBA","TBA","Martin R Stokes","1/10/2011 - 4/29/2011"
"AVS",368,"Independent Study in the Animal Sciences",3,"IND",1371,"TBA","TBA","Charles R Wallace","1/10/2011 - 4/29/2011"
"AVS",368,"Independent Study in the Animal Sciences",4,"IND",1372,"TBA","TBA","David P Marcinkowski","1/10/2011 - 4/29/2011"
"AVS",368,"Independent Study in the Animal Sciences",5,"IND",1373,"TBA","TBA","James Weber","1/10/2011 - 4/29/2011"
"AVS",368,"Independent Study in the Animal Sciences",6,"IND",1374,"TBA","TBA","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",371,"University Dairy Cooperative",1,"FEX",1376,"Th 5:00PM - 7:00PM","Witter Center 138","David P Marcinkowski","1/10/2011 - 4/29/2011"
"AVS",396,"Field Experience in Animal and Veterinary Science",1,"FEX",1377,"TBA","TBA","James Weber","1/10/2011 - 4/29/2011"
"AVS",397,"Equine Internship",1,"FEX",3312,"Tu 11:00AM - 12:15PM","Hitchner Hall 147","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",397,"Equine Internship",2,"FEX",13986,"TBA","TBA","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",401,"Senior Paper in Animal Science I",1,"LEC",14028,"TBA","TBA","Martin R Stokes","1/10/2011 - 4/29/2011"
"AVS",402,"Senior Paper in Animal Science II",1,"LEC",1378,"TuTh 3:30PM - 4:45PM","Rogers Hall 206","Martin R Stokes","1/10/2011 - 4/29/2011"
"AVS",405,"Livestock and Companion Animal Behavior",860,"LEC",7274,"Tu 5:00PM - 7:30PM","Hitchner Hall 147","Clare E Thomas","1/10/2011 - 4/29/2011"
"AVS",437,"Animal Diseases",1,"LEC",1379,"MoWeFr 10:00AM - 10:50AM","Nutting Hall 100","James Weber","1/10/2011 - 4/29/2011"
"AVS",455,"Animal Nutrition",1,"IND",14172,"TBA","TBA","Martin R Stokes","1/10/2011 - 4/29/2011"
"AVS",466,"Feeding Dairy Cattle",1,"LEC",1381,"TuTh 8:00AM - 9:15AM","Deering Hall 113","David P Marcinkowski","1/10/2011 - 4/29/2011"
"AVS",590,"Special Topics in Animal Science",1,"IND",1382,"TBA","TBA","Robert C Causey","1/10/2011 - 4/29/2011"
"AVS",590,"Special Topics in Animal Science",2,"IND",1383,"TBA","TBA","Charles R Wallace","1/10/2011 - 4/29/2011"
"AVS",590,"Special Topics in Animal Science",3,"IND",7273,"Tu 1:00PM - 3:30PM","Nutting Hall 257","Clare E Thomas","1/10/2011 - 4/29/2011"
"AVS",633,"Graduate Seminar in Animal Science",1,"SEM",1384,"Fr 12:30PM - 2:30PM","Hitchner Hall 147","Robert C Bayer","1/10/2011 - 4/29/2011"
"AVS",690,"Graduate Research in Animal Science",1,"IND",1385,"TBA","TBA","Martin R Stokes","1/10/2011 - 4/29/2011"
"AVS",699,"Graduate Thesis / Research",1,"THS",1386,"TBA","TBA","Robert C Bayer","1/10/2011 - 4/29/2011"
"AVS",699,"Graduate Thesis / Research",2,"THS",13505,"TBA","TBA",,"1/10/2011 - 4/29/2011"
"AVS",699,"Graduate Thesis / Research",3,"THS",13903,"TBA","TBA","Anne Lichtenwalner","1/10/2011 - 4/29/2011"
"BIO",504,"Advanced Developmental Biology",1,"LEC",14032,"TuTh 9:30AM - 10:45AM","Arranged","Mary S Tyler","1/10/2011 - 4/29/2011"
"BIO",511,"Insect Ecology",1,"LEC",7317,"TBA","Deering Hall 301","Francis A Drummond","1/10/2011 - 4/29/2011"
"BIO",541,"Microscopy Laboratory",1,"LAB",2640,"We 1:10PM - 5:00PM","Murray Hall 11","Seth Tyler","1/10/2011 - 4/29/2011"
"BIO",555,"Biological Invasions",1,"LEC",7316,"MoWeFr 1:10PM - 2:00PM","Deering Hall 17","Andrei Alyokhin","1/10/2011 - 4/29/2011"
"BIO",574,"Neurophysiology",1,"LEC",2641,"MoWeFr 12:10PM - 1:00PM","Donald P Corbett Business 105","Leonard J Kass","1/10/2011 - 4/29/2011"
"BIO",588,"Graduate Research in Biology II",1,"IND",3802,"TBA","TBA","Francis A Drummond","1/10/2011 - 4/29/2011"
"BIO",591,"Graduate Independent Study in Biology",1,"IND",8681,"TBA","TBA","Jody Jellison","1/10/2011 - 4/29/2011"
"BIO",597,"Special Topics in Biology",1,"IND",2673,"TBA","TBA","Clarissa A Henry","1/10/2011 - 4/29/2011"
"BIO",597,"Special Topics in Biology",2,"REC",12875,"Mo 2:10PM - 3:00PM","Deering Hall 17","Eleanor Groden","1/10/2011 - 4/29/2011"
"BIO",597,"Special Topics in Biology",3,"LEC",13385,"MoWeFr 9:00AM - 9:50AM","Donald P Corbett Business 117","Rebecca L Holberton","1/10/2011 - 4/29/2011"
"BIO",597,"Special Topics in Biology",4,"IND",13414,"TuTh 11:00AM - 12:30PM","Murray Hall 300","Brian Olsen","1/10/2011 - 4/29/2011"
"BIO",597,"Special Topics in Biology",5,"LEC",13567,"MoWeFr 12:10PM - 1:00PM","Hitchner Hall 203","Brian McGill","1/10/2011 - 4/29/2011"
"BIO",597,"Special Topics in Biology",6,"IND",13838,"TBA","TBA","Stylianos Tavantzis","1/10/2011 - 4/29/2011"
"BIO",688,"Problems in Biological Sciences II",1,"IND",2674,"TBA","TBA","Harold B Dowse","1/10/2011 - 4/29/2011"
"BIO",688,"Problems in Biological Sciences II",2,"IND",7318,"MoWe 3:00PM - 4:30PM","Deering Hall 17","Jasmine E Saros","1/10/2011 - 4/29/2011"
"BIO",688,"Problems in Biological Sciences II",3,"IND",13606,"TBA","TBA","Rebecca L Holberton","1/10/2011 - 4/29/2011"
"BIO",699,"Graduate Thesis / Research",1,"THS",3257,"TBA","TBA","Andrei Alyokhin","1/10/2011 - 4/29/2011"
"BIO",699,"Graduate Thesis / Research",2,"THS",3258,"TBA","TBA","Seanna L Annis","1/10/2011 - 4/29/2011"
"BIO",699,"Graduate Thesis / Research",3,"THS",3259,"TBA","TBA","Sharon L Ashworth","1/10/2011 - 4/29/2011"
"BIO",699,"Graduate Thesis / Research",4,"THS",3260,"TBA","TBA","Christopher Campbell","1/10/2011 - 4/29/2011"
"BIO",699,"Graduate Thesis / Research",5,"THS",3261,"TBA","TBA","Benildo G De Los Reyes","1/10/2011 - 4/29/2011"
