department,courseNum,courseTitle,sectionNum,courseType,callNum,meetingTime,meetingLocation,instructor,startEndDate
AED,597,"Independent Study in Art Education",0001,IND,1862,TBA,TBA,Roger Dell,5/9/2011 - 8/19/2011
ANT,120,"Religions of the World",0990,LEC,1031,TBA,On-line Course,,5/16/2011 - 7/1/2011
ANT,249,"Religion and Violence",0990,LEC,1108,TBA,TBA,Henry L Munson,7/5/2011 - 8/19/2011
ANT,422,"Folklore of Maine and The Maritime Provinces",0990,LEC,3070,TBA,On-line Course,Pauleena M Macdougall,6/13/2011 - 8/5/2011
ANT,492,"Capstone in Anthropology",0001,IND,1137,TBA,TBA,Staff,5/9/2011 - 8/19/2011
ANT,497,"Department Projects",0001,IND,1138,TBA,TBA,Staff,5/9/2011 - 8/19/2011
ANT,597,"Advanced Topics in Anthropology",0001,IND,1140,TBA,TBA,Staff,TBA
ANT,597,"Advanced Topics in Anthropology",0002,IND,1142,TBA,TBA,Staff,TBA
ARH,496,"Field Experience in Art History",0001,FEX,1850,TBA,TBA,Michael H Grillo,5/9/2011 - 8/19/2011
ART,107,"Topics: Intro Arts",0665,STU,5289,MoFrSaSu 9:30AM - 4:30PM,Fred Hutchinson Center,Dina M Petrillo,6/17/2011 - 6/20/2011
ART,180,"Photography I",0001,LAB,3233,MoTuWeThFr 9:00AM - 12:00PM,Carnegie Hall 102,Michael H Grillo,5/9/2011 - 5/27/2011,MoTuWeThFr 1:00PM - 3:00PM,Carnegie Hall 102,Michael H Grillo,5/9/2011 - 5/27/2011
ART,182,"Photography and Digital Imaging",0869,LAB,1736,Sa 9:00AM - 12:00PM,Lord Hall 311,Michael H Grillo,5/31/2011 - 7/9/2011
ART,260,"Topics in Studio Art",0003,LAB,1784,MoTuWeThFr 9:00AM - 12:00PM,East Annex 124,,5/9/2011 - 5/27/2011,MoTuWeThFr 1:00PM - 3:00PM,East Annex 124,,5/9/2011 - 5/27/2011,MoTuWeThFr 9:00AM - 12:00PM,East Annex 126,,5/9/2011 - 5/27/2011,MoTuWeThFr 1:00PM - 3:00PM,East Annex 126,,5/9/2011 - 5/27/2011
ART,260,"Topics in Studio Art",0665,LAB,3234,TuTh 9:00AM - 5:00PM,Fred Hutchinson Center,Kerstin L Engman,7/5/2011 - 8/4/2011
ART,260,"Topics in Studio Art",0666,LAB,1024,MoWe 9:00AM - 5:00PM,Fred Hutchinson Center,Dina M Petrillo,5/9/2011 - 6/15/2011
ART,260,"Topics in Studio Art",0667,LAB,1002,TuTh 9:00AM - 5:00PM,Fred Hutchinson Center,Kerstin L Engman,5/31/2011 - 6/30/2011
