"10/01","President's Event","CCA","6:00PM"
"10/03","Hockey","Alfond","4:00PM"
"10/08","Hockey","Alfond","7:00PM"
"10/09","Hockey","Alfond","7:00PM"
"10/22","Hockey","Alfond","7:00PM"
"10/23","Hockey","Alfond","7:00PM"
"11/12","Hockey","Alfond","7:00PM"
"11/13","Womens Basketball","Alfond","12:00PM"
"11/13","Hockey","Alfond","7:00PM"
"11/18","Mens Basketball","Alfond","TBA"
"11/23","Womens Basketball","Alfond","7:00PM"
"11/27","Womens Basketball","Alfond","TBA"
"12/04","Mens Basketball","Alfond","2:00PM"
"12/06","Mens Basketball","Alfond","7:30PM"
"12/10","tHockey","Alfond","7:00PM"
"12/12","Mens Basketball","Pit","12:00PM"
"12/12","Hockey","Alfond","4:00PM"
"12/19","Mens Basketball","Alfond","2:00PM"
"01/02","Mens Basketball","Alfond","TBA"
"01/05","Mens Basketball","Alfond","7:00PM"
"01/09","Womens Basketball","Alfond","12:00PM"
"01/12","Womens Basketball","Alfond","7:30PM"
"01/14","Hockey","Alfond","7:00PM"
"01/15","Womens Basketball","Alfond","1:00PM"
"01/15","Mens Basketball","Alfond","3:00PM"
"01/16","Hockey","Alfond","4:00PM"
"01/22","Mens Basketball","Alfond","7:00PM"
"01/23","Womens Basketball","Alfond","1:00PM"
"01/25","Mens Basketball","Alfond","7:00PM"
"01/26","Womens Basketball","Alfond","7:00PM"
"01/28","Hockey","Alfond","7:00PM"
"01/29","Hockey","Alfond","7:00PM"
"02/01","Womens Basketball","Alfond","7:00PM"
"02/06","Mens Basketball","Alfond","2:00PM"
"02/08","Womens Basketball","Alfond","7:00PM"
"02/11","Hockey","Alfond","7:00PM"
"02/12","Hockey","Alfond","7:00PM"
"02/16","Mens Basketball","Alfond","7:30PM"
"02/20","Womens Basketball","Alfond","1:00PM"
"02/21","Open House","CCA","8:30AM"
"02/25","Hockey","Alfond","7:00PM"
"02/26","Hockey","Alfond","7:00PM"
"02/27","Mens Basketball","Alfond","2:00PM"
"03/11-03/13","Hockey East Quarter Finals TBD","TBD"
"03/18-03/19","Hockey East Finals","Boston","TBD"
"03/25-03/27","Hockey NCAA Regionals","TBD","TBD"
"04/07-04/09","Hockey Frozen Four","St. Paul, MN","TBD"
