department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;100;"Introduction to Anthropology";0001;LEC;4232;View Details;TuTh 2:00PM - 3:15PM;Folsom Hall 105;David E Putnam;01/22/2013 - 05/16/2013
ANT;100;"Introduction to Anthropology";0002;LEC;4284;View Details;We 1:00PM - 3:45PM;Houlton Center;David E Putnam;01/22/2013 - 05/16/2013
ANT;110;"World Religions";6WK2;LEC;4285;View Details;TBA;ONLINE;Kimberly R Sebold;03/18/2013 - 05/03/2013
ANT;200;"Archaeology";0001;LEC;8249;View Details;Th 6:00PM - 8:45PM;Folsom Hall 206;David E Putnam;01/22/2013 - 05/16/2013
ANT;386;"Special Topics in Anthropology";0001;LEC;11777;View Details;Tu 6:00PM - 8:45PM;Folsom Hall 204;David E Putnam;01/22/2013 - 05/16/2013
ART;101;"Basic Design";0001;STU;4286;View Details;MoWe 3:30PM - 5:20PM;Pullen Hall 311;Heather Sincavage;01/22/2013 - 05/16/2013
ART;104;"Figure Drawing";0001;STU;4234;View Details;TuTh 9:30AM - 11:30AM;Pullen Hall 311;Hume Anderson Giles;01/22/2013 - 05/16/2013
ART;107;"Experience of the Arts";0001;LEC;4288;View Details;MoWe 12:30PM - 1:45PM;Folsom Hall 105;Hume Anderson Giles;01/22/2013 - 05/16/2013
ART;107;"Experience of the Arts";0002;LEC;4289;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 105;J Donald Cyr;01/22/2013 - 05/16/2013
ART;107;"Experience of the Arts";0003;LEC;4290;View Details;TBA;ONLINE;Hyrum Benson;01/22/2013 - 05/16/2013
ART;107;"Experience of the Arts";0004;LEC;7227;View Details;Tu 1:00PM - 3:45PM;Houlton Center;Cheryl Ann Kittredge;01/22/2013 - 05/16/2013
