department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;101;"Introduction to Anthropology";1010;LEC;25309;Th 1:00PM - 3:45PM;Old Model School;Jon Arlin Schlenker;09/03/2013 - 12/23/2013
ARH;105;"History of Art and Architecture I";1009;LEC;25498;Th 1:00PM - 3:45PM;East Sullivan;Brooks W Stoddard;09/03/2013 - 12/23/2013
ARH;106;"History of Art and Architecture II";0300;LEC;24707;Th 4:00PM - 6:45PM;Bath Brunswick;Susan B Stoddard;09/03/2013 - 12/23/2013
ARH;205;"History of Photography I (1830 to 1930)";0100;LEC;24510;We 1:00PM - 3:45PM;Randall Student Center 248;Susan B Stoddard;09/03/2013 - 12/23/2013
ARH;274;"Modern Art I";0300;LEC;24819;Tu 9:00AM - 11:45AM;Rockland;John D Farmer;09/03/2013 - 12/23/2013
ARH;345;"American Art and Architecture (17th to 20th Century)";0100;LEC;24511;We 1:00PM - 3:45PM;Jewett Hall 0185;Staff;09/03/2013 - 12/23/2013
ART;100;"Introduction to Studio Art";8000;STU;30757;TBA;Web/On-line;Ted Adrien Closson;10/08/2013 - 11/22/2013
ART;109;"Photographic Vision and Digital Discovery";0200;STU;24582;MoWe 1:00PM - 3:30PM;Eastport Hall 0102;Dee Peppe;09/03/2013 - 12/23/2013
ART;112;"2";0101;STU;24515;Tu 12:00PM - 2:30PM;Gannett Building;Susan C Bickford;09/03/2013 - 12/23/2013;Th 1:00PM - 3:30PM;Randall Student Center 137;Susan C Bickford;09/03/2013 - 12/23/2013
ART;113;"3";0100;STU;24516;TuTh 9:00AM - 11:30AM;Fine Arts Building 0121;Robert I Katz;09/03/2013 - 12/23/2013
ART;115;"Drawing I";0300;STU;24728;Th 8:30AM - 12:00PM;Ellsworth;Cynthia June Kellogg;09/03/2013 - 12/23/2013;Th 1:00PM - 2:30PM;Ellsworth;Cynthia June Kellogg;09/03/2013 - 12/23/2013
ART;202;"Electronic Arts I";0100;LEC;24522;TuTh 4:00PM - 6:30PM;Randall Student Center 137;Robert Rainey;09/03/2013 - 12/23/2013
ART;215;"Drawing II";0300;STU;24731;Th 8:30AM - 12:00PM;Ellsworth;Cynthia June Kellogg;09/03/2013 - 12/23/2013;Th 1:00PM - 2:30PM;Ellsworth;Cynthia June Kellogg;09/03/2013 - 12/23/2013
ART;219;"Sculpture I";0100;STU;24525;MoWe 9:00AM - 11:30AM;Fine Arts Building 0121;Robert I Katz;09/03/2013 - 12/23/2013
ART;227;"Watercolor Painting I";0300;STU;24821;MoWe 4:00PM - 6:30PM;Rockland;Seth Lester;09/03/2013 - 12/23/2013
ART;235;"Photography I";0100;STU;24527;TuTh 9:00AM - 11:30AM;Campus Center - Photo Studio;Jere C Dewaters;09/03/2013 - 12/23/2013
ART;261;"Creative Bookmaking";0100;STU;24529;MoWe 1:00PM - 3:30PM;Gannett Building;Karen Adrienne;09/03/2013 - 12/23/2013
ART;315;"Drawing III";0100;STU;24531;TuTh 9:00AM - 11:30AM;Art &amp; Arch Building 0106;Karen Adrienne;09/03/2013 - 12/23/2013
ART;320;"Contemporary Studio Practice and Theory";0100;LEC;24534;Fr 9:00AM - 11:30AM;Randall Student Center 137;Susan C Bickford;09/03/2013 - 12/23/2013;Fr 12:30PM - 3:00PM;Randall Student Center 137;Susan C Bickford;09/03/2013 - 12/23/2013
ART;321;"Painting II";0300;STU;24941;Th 9:00AM - 12:00PM;Rumford-Mexico Center;Patricia E Chandler;09/03/2013 - 12/23/2013;Th 1:00PM - 3:00PM;Rumford-Mexico Center;Patricia E Chandler;09/03/2013 - 12/23/2013
ART;327;"Watercolor Painting II";0300;STU;30751;MoWe 4:00PM - 6:45PM;Rockland;Seth Lester;09/03/2013 - 12/23/2013
ART;335;"Photography II";0100;STU;24571;MoWe 1:00PM - 3:30PM;Campus Center - Photo Studio;Robert Rainey;09/03/2013 - 12/23/2013
ART;420;"Senior Seminar";0100;LEC;24572;Tu 4:00PM - 6:45PM;Campus Center - Photo Studio;Jere C Dewaters;09/03/2013 - 12/23/2013
ART;421;"Painting III";0100;STU;24574;MoWe 9:00AM - 11:30AM;Gannett Building;Andrea Marie Sulzer;09/03/2013 - 12/23/2013
ART;435;"Photography III";0100;STU;24576;MoWe 1:00PM - 3:30PM;Campus Center - Photo Studio;Robert Rainey;09/03/2013 - 12/23/2013
BIO;100;"Human Biology";0203;LAB;24965;Fr 9:30AM - 11:30AM;Camden Hall 0101;E Donald Naber;09/03/2013 - 12/23/2013
BIO;110;"General Biology I";0307;LEC;24957;Mo 4:00PM - 6:45PM;Rumford-Mexico Center;Anne M Morin;09/03/2013 - 12/23/2013
BIO;115;"Mammalian Anatomy &amp; Physiology I";0202;LAB;24985;We 1:00PM - 3:00PM;Camden Hall 0101;Anne F Hayes-Grillo;09/03/2013 - 12/23/2013
BIO;210;"Anatomy and Physiology";0301;LAB;24711;Tu 7:00PM - 9:00PM;Bath Brunswick;Wayne A Robbins;09/03/2013 - 12/23/2013
BIO;215;"Introduction to Human Genetics";9000;LEC;25061;TBA;Web/On-line;Natalia Abramova;09/03/2013 - 12/23/2013
BIO;220;"Marine Biology";0200;LEC;24992;TuTh 9:00AM - 10:20AM;Eastport Hall 0103;Robert T Klose;09/03/2013 - 12/23/2013
BIO;265;"Veterinary Microbiology";0202;LAB;24995;TuTh 9:00AM - 10:30AM;Camden Hall 0105;E Donald Naber;09/03/2013 - 12/23/2013
BIO;321;"Microbiology";0301;LAB;24775;We 6:00PM - 8:00PM;Ellsworth;Jason Allen Bubier;09/03/2013 - 12/23/2013
BIO;324;"Cell Biology";0100;LEC;26924;Tu 1:00PM - 3:45PM;Jewett Hall 0190;Sheila K Bennett;09/03/2013 - 12/23/2013
BIO;345;"Pathophysiology";0100;LEC;26925;Fr 9:00AM - 11:45AM;Jewett Hall 0295;Margaret M Shore;09/03/2013 - 12/23/2013
BUA;100;"Introduction to Business";1009;LEC;25780;Th 7:30AM - 8:45AM;Ellsworth;J Powers McGuire;09/03/2013 - 12/23/2013
BUA;101;"Financial Accounting for Management Decision Making";1010;LEC;25835;We 7:30AM - 8:45AM;Mt Blue High School;Barbara Rowell;09/03/2013 - 12/23/2013
BUA;201;"Intermediate Financial Reporting I";1009;LEC;26191;Fr 1:00PM - 3:45PM;East Sullivan;Barbara Rowell;09/03/2013 - 12/23/2013
BUA;210;"Fundamentals of Life and Health Insurance";1009;LEC;26226;Th 7:30AM - 8:45AM;Ellsworth;John V Finnegan;09/03/2013 - 12/23/2013
BUA;211;"Accounting for Management Decisions";1009;LEC;26291;Tu 7:30AM - 8:45AM;Ellsworth;Frank Bean;09/03/2013 - 12/23/2013
BUA;216;"Consumer Lending";1010;LEC;26325;Mo 7:00PM - 9:45PM;East Sullivan;David M Leach;09/03/2013 - 12/23/2013
BUA;223;"Principles of Management";1010;LEC;26364;Th 9:00AM - 11:45AM;Ellsworth;Frank Bean;09/03/2013 - 12/23/2013
BUA;230;"Business Law";1011;LEC;26523;Fr 4:00PM - 6:45PM;Ellsworth;J Powers McGuire;09/03/2013 - 12/23/2013
BUA;243;"Forming the Small Business";6005;LEC;25816;Tu 1:00PM - 3:45PM;Saco Video Conferencing;Frank Bean;09/03/2013 - 12/23/2013
BUA;259W;"Strategic Management for the Small Business";6005;LEC;25822;Mo 4:00PM - 6:45PM;Rumford Video Conferencing;Robert Keyes Roper;09/03/2013 - 12/23/2013
BUA;276;"Taxation";1009;LEC;26557;Tu 9:00AM - 11:45AM;East Sullivan;Thomas J Giordano;09/03/2013 - 12/23/2013
BUA;301;"Governmental and Not";9000;LEC;25085;TBA;Web/On-line;Barbara Rowell;09/03/2013 - 12/23/2013
BUA;303;"Management Information System";1010;LEC;27332;We 7:00PM - 9:45PM;East Sullivan;Jody L Breton;09/03/2013 - 12/23/2013
BUA;343;"Advanced Accounting I";1009;LEC;26595;Fr 9:00AM - 11:45AM;East Sullivan;Thomas J Giordano;09/03/2013 - 12/23/2013
BUA;351;"Investment Management";6004;LEC;29823;We 1:00PM - 2:15PM;BBC Video Conferencing;Diane L Boone;09/03/2013 - 12/23/2013
BUA;357;"Business Finance";1010;LEC;26638;Th 4:00PM - 6:45PM;East Sullivan;Frank Bean;09/03/2013 - 12/23/2013
BUA;360;"Operations Management";1010;LEC;26677;We 4:00PM - 6:45PM;East Millinocket;Daylin J Butler;09/03/2013 - 12/23/2013
BUA;361;"Human Resource Management";1010;LEC;26765;Fr 4:00PM - 6:45PM;East Sullivan;Daylin J Butler;09/03/2013 - 12/23/2013
BUA;362;"Labor";1010;LEC;26840;We 4:00PM - 6:45PM;East Millinocket;J Powers McGuire;09/03/2013 - 12/23/2013
BUA;365;"Organizational Behavior";1011;LEC;26881;Th 7:00PM - 9:45PM;Ellsworth;Brenda O McAleer;09/03/2013 - 12/23/2013
BUA;369;"Marketing";1009;LEC;27173;Mo 1:00PM - 3:45PM;East Sullivan;Thomas J Giordano;09/03/2013 - 12/23/2013
BUA;458;"Accounting Seminar";1010;LEC;27210;Th 4:00PM - 5:15PM;East Sullivan;Thomas J Giordano;09/03/2013 - 12/23/2013
BUA;487;"Advanced Fraud Examination";9000;LEC;29099;TBA;Web/On-line;Diane L Boone;09/03/2013 - 12/23/2013
CHY;105;"Fundamentals of Chemistry";0300;LEC;24959;We 4:00PM - 6:45PM;Rumford-Mexico Center;Thomas R Wylie;09/03/2013 - 12/23/2013
CHY;106;"Fundamentals of Chemistry Laboratory";0300;LAB;24961;We 7:00PM - 9:00PM;Rumford-Mexico Center;Thomas R Wylie;09/03/2013 - 12/23/2013
CHY;108;"Allied Health Chemistry";0204;LAB;25011;Fr 10:30AM - 1:30PM;Camden Hall 0105;Roberta Trefts;09/03/2013 - 12/23/2013
CHY;115;"General Chemistry I";0102;LAB;26930;Th 9:00AM - 12:00PM;Jewett Hall 0294;Susan O Baker;09/03/2013 - 12/23/2013
CHY;117;"Introduction to Organic and Biochemistry";0101;LAB;26932;Mo 4:15PM - 6:15PM;Jewett Hall 0294;Donna L Gronros;09/03/2013 - 12/23/2013
ECO;100;"Introduction to Economics";9000;LEC;25151;TBA;Web/On-line;Ronald N Norton;09/03/2013 - 12/23/2013
ECO;201;"Macroeconomics";1009;LEC;27472;Mo 1:00PM - 3:45PM;East Sullivan;Ronald N Norton;09/03/2013 - 12/23/2013
ECO;202;"Microeconomics";9000;LEC;25153;TBA;Web/On-line;Ronald N Norton;09/03/2013 - 12/23/2013
EDU;160;"Perspectives on Infants";9000;LEC;30105;TBA;Web/On-line;Patricia Morris Clark;09/03/2013 - 12/23/2013
EDU;329;"Science and the Project Approach for the Young Child";9000;LEC;30106;TBA;Web/On-line;Erin P C Zaremba;09/03/2013 - 12/23/2013
EDU;352;"Interventions for Families with Children";1009;LEC;29934;We 4:00PM - 6:45PM;Penquis Higher Ed Ctr;Patricia Morris Clark;09/03/2013 - 12/23/2013
EDU;366;"Children &amp; Young Adult Literature";9000;LEC;25155;TBA;Web/On-line;Cynthia Diane Dean;09/03/2013 - 12/23/2013
EDU;387;"Teaching the Execeptional Child in the Regular Classroom";9000;LEC;25156;TBA;Web/On-line;Cynthia Diane Dean;09/03/2013 - 12/23/2013
EDU;490;"Internship in Student Teaching";0100;FEX;24673;TBA;TBA;Cynthia Diane Dean;09/03/2013 - 12/23/2013
ENG;;"";1006;LEC;27505;Mo 9:00AM - 11:45AM;Deer Isle;Eleanor S Leo;09/03/2013 - 12/23/2013
ENG;;"10";0200;LEC;24622;TuTh 9:00AM - 10:20AM;Belfast Hall 003D;Edward P Rice;09/03/2013 - 12/23/2013
ENG;101;"College Writing";0204;LEC;24633;TuTh 9:00AM - 10:20AM;Lewiston Hall 0110;Staff;09/03/2013 - 12/23/2013
ENG;102W;"Introduction to Literature";1000;LEC;25591;Tu 9:00AM - 11:45AM;Bennett D. Katz Library 0014;Eleanor S Leo;09/03/2013 - 12/23/2013
ENG;103W;"Writing for Allied Health";0100;LEC;28934;Tu 9:00AM - 11:45AM;Randall Student Center 246;Nancy Schneider;09/03/2013 - 12/23/2013
ENG;111W;"Journalism";9000;LEC;25163;TBA;Web/On-line;Elizabeth A Adams;09/03/2013 - 12/23/2013
ENG;250W;"American Literature to 1900";6005;LEC;29735;Th 1:00PM - 3:45PM;Houlton Higher Ed Center;Kay L Retzlaff;09/03/2013 - 12/23/2013
ENG;317W;"Professional Writing";1005;LEC;27644;Tu 1:00PM - 3:45PM;Bucksport HS;Nancy Schneider;09/03/2013 - 12/23/2013
ENG;325W;"The American Story";0300;LEC;24848;Tu 9:00AM - 11:45AM;Rockland;Ellen Maureen Taylor;09/03/2013 - 12/23/2013
