department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;101S;"Introduction to Cultural Anthropology";0002;LEC;24258;TuTh 9:50AM - 11:30AM;Roberts 201;Gaelyn Aguilar;09/04/2013 - 12/19/2013
ANT;102S;"Introduction to Archaeology";0001;LEC;24263;TuTh 3:50PM - 5:30PM;Ricker Addition 207;Lucas Kellett;09/04/2013 - 12/19/2013
ANT;300;"Food and Culture";0001;LEC;24264;MoWe 3:40PM - 5:20PM;Roberts 203;Gaelyn Aguilar;09/04/2013 - 12/19/2013
ANT;365;"Medical Anthropology";0001;LEC;24268;MoWeFr 2:25PM - 3:30PM;Roberts 001;Nicole Kellett;09/04/2013 - 12/19/2013
ARH;274A;"Modern Art";0001;LEC;23286;We 6:15PM - 9:45PM;Merrill Hall 220;Sarah R Maline;09/04/2013 - 12/19/2013
ARH;378A;"Contemporary Japanese Film";0001;LEC;24415;Th 6:30PM - 9:45PM;Roberts 131 - Lincoln Auditori;Sarah R Maline;09/04/2013 - 12/19/2013
ART;111A;"Poster Child";0001;LEC;23527;TuTh 3:30PM - 6:30PM;Merrill Hall 222;Dawn M Nye;09/04/2013 - 12/19/2013
ART;112A;"Digital Imaging";0002;STU;23288;TuTh 8:30AM - 11:30AM;Merrill Hall 222;Krisanne B Baker;09/04/2013 - 12/19/2013
ART;115A;"Drawing I";0004;STU;24426;TuTh 12:00PM - 3:00PM;Merrill Hall&nbsp; 221;Barbara Sullivan;09/04/2013 - 12/19/2013
ART;119A;"Sculpture I";0002;STU;24429;MoWe 1:15PM - 4:15PM;Merrill Hall 001 - Wood Shop;Jesse Potts;09/04/2013 - 12/19/2013
ART;120A;"Art on the Edge";0001;LEC;23427;TuTh 12:00PM - 3:00PM;Merrill Hall 001 - Wood Shop;Katrazyna A Randall;09/04/2013 - 12/19/2013
ART;160A;"Introduction to Live/Performance Art";0001;LEC;24455;Tu 1:50PM - 5:10PM;Merrill Hall 225 - Nordica;Gustavo Aguilar;09/04/2013 - 12/19/2013;Tu 1:50AM - 5:10AM;Merrill Hall 226 - Green Rm;Gustavo Aguilar;09/04/2013 - 12/19/2013
ART;163A;"Experimental Arts Ensemble";0001;LEC;24457;Tu 6:30PM - 9:30PM;Merrill Hall 225 - Nordica;Gustavo Aguilar;09/04/2013 - 12/19/2013;Tu 6:30PM - 9:30PM;Merrill Hall 226 - Green Rm;Gustavo Aguilar;09/04/2013 - 12/19/2013
ART;221A;"Painting I";0001;STU;23293;MoWe 8:30AM - 11:30AM;Mallett Hall;Elizabeth Olbert;09/04/2013 - 12/19/2013
ART;241A;"Video I";0001;STU;23289;TuTh 12:00PM - 3:00PM;Merrill Hall 222;Dawn M Nye;09/04/2013 - 12/19/2013
ART;244A;"Creative Imaging";0001;STU;24459;MoWe 1:15PM - 4:15PM;Merrill Hall 222;Dawn M Nye;09/04/2013 - 12/19/2013
ART;420;"Senior Seminar and Studio Practice";0001;SEM;23294;Fr 1:15PM - 6:15PM;144 Quebec Street;Katrazyna A Randall;09/04/2013 - 12/19/2013
BIO;110N;"Introductory Biology";0032;LAB;29845;We 3:10PM - 5:00PM;Preble Hall 111 - Bio Lab I;Nancy Kotchian Prentiss;09/04/2013 - 12/19/2013
BIO;150N;"Human Anatomy and Physiology";0015;LAB;24176;We 9:45AM - 11:35AM;Preble Hall 113 - A &amp; P Lab;Richard W Robinson;09/04/2013 - 12/19/2013
BIO;160;"Plant Biology: Organisms to Ecosystems";0013;LAB;23331;Th 12:30PM - 3:20PM;Preble Hall 112 - Bio Lab II;Andrew M Barton;09/04/2013 - 12/19/2013
BIO;251;"Cell Biology";0012;LAB;29846;Th 9:00AM - 11:50AM;Ricker Hall 220 - Genetics Lab;Jean A Doty;09/04/2013 - 12/19/2013
BIO;361;"Ecology";0011;LAB;23327;We 1:10PM - 4:00PM;Ricker Hall 222 - Biology Lab;Ronald G Butler;09/04/2013 - 12/19/2013
BIO;391;"Entomology";0011;LAB;23966;Th 12:00PM - 2:50PM;Ricker Hall 222 - Biology Lab;Ronald G Butler;09/04/2013 - 12/19/2013
CHY;110N;"Elementary Chemistry";0021;LAB;27893;TBA;Arranged;Martin T Morocco;09/04/2013 - 12/19/2013
CHY;141;"General Chemistry I";0022;LAB;23958;Tu 6:00PM - 8:50PM;Chemistry Lab I;Michael Sherrod;09/04/2013 - 12/19/2013
CHY;241;"Organic Chemistry I";0011;LAB;23336;Tu 8:00AM - 11:50AM;Preble Hall 223 - Chem Lab II;A Mariella Passarelli;09/04/2013 - 12/19/2013
CHY;291;"Analytical Chemistry";011;LAB;29853;Th 2:00PM - 5:30PM;Preble Hall 227 - Analyt Chem;Martin T Morocco;09/04/2013 - 12/19/2013
COS;120;"Internet Computing";0001;LEC;23409;MoWeFr 10:30AM - 11:35AM;RICKR 114 - Computer Science L;Christopher L Bennett;09/04/2013 - 12/19/2013
COS;140;"Introduction to Computer Science";0001;LEC;23282;MoWeFr 9:15AM - 10:20AM;RICKR 114 - Computer Science L;Christopher L Bennett;09/04/2013 - 12/19/2013
COS;360;"Programming Language Concepts";0001;LEC;23956;TuTh 9:50AM - 11:30AM;RICKR 114 - Computer Science L;Christopher L Bennett;09/04/2013 - 12/19/2013
COS;372;"Computer Operating Systems";0001;LEC;23957;MoWeFr 1:10PM - 2:15PM;RICKR 114 - Computer Science L;Gail L Lange;09/04/2013 - 12/19/2013
ECO;110S;"Principles of Economics";0003;LEC;24282;TuTh 9:50AM - 11:30AM;Roberts 205;John D Messier;09/04/2013 - 12/19/2013
ECO;228;"Environmental and Natural Resource Economics";0001;LEC;24293;MoWeFr 2:25PM - 3:30PM;Roberts 107;Wendy L Harper;09/04/2013 - 12/19/2013
ECO;230;"Behavioral Economics";0001;LEC;24283;TuTh 8:00AM - 9:40AM;Roberts 205;John D Messier;09/04/2013 - 12/19/2013
ECO;309;"Intermediate Macroeconomic Theory";0001;LEC;24292;TuTh 9:50AM - 11:30AM;Roberts 301 - Business Lab;Sheena S Bunnell;09/04/2013 - 12/19/2013
EDU;101;"Introduction to Middle/Secondary Education and Technology for the Learner";0002;LEC;23793;MoWe 8:40AM - 10:20AM;Ed Center 106;Johanna Prince;09/04/2013 - 10/23/2013;We 8:40AM - 10:20AM;Ed Center 103 - Literacy Class;Johanna Prince;09/04/2013 - 10/23/2013
EDU;125;"Introduction to Theory and Practice in K";0004;LEC;23808;TuTh 9:50AM - 11:30AM;Ed Center 112 - Distance Ed Rm;Joseph M Tutlis;10/24/2013 - 12/19/2013
EDU;202;"Practicum and Seminar in K";0002;FEX;23651;Mo 9:50AM - 11:30AM;Ed Center 112 - Distance Ed Rm;Barbara J Eretzian;09/04/2013 - 12/19/2013;TuTh 8:00AM - 12:00PM;In Field;Barbara J Eretzian;09/04/2013 - 12/19/2013
EDU;221;"Secondary/Middle Block: Curriculum";0004;FEX;23669;TuWeTh 7:30AM - 2:30PM;In Field;Elizabeth A Yeaton-Evans;10/07/2013 - 10/25/2013;TuWeTh 7:30AM - 2:30PM;In Field;Elizabeth A Yeaton-Evans;11/19/2013 - 12/13/2013
