department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;100;"Introduction to Anthropology";2001;LEC;25975;TBA;Online;Deborah Swartz;09/03/2013 - 12/20/2013
ANT;307;"Cultures of North America";2001;LEC;25976;TBA;Online;Deborah Swartz;09/03/2013 - 12/20/2013
ANT;354;"Anthropology and Folklore";2001;LEC;25977;TBA;Online;Mariella R Squire;09/03/2013 - 12/20/2013
ART;100;"History of Art: Prehistoric to Renaissance";2001;LEC;25766;TBA;Online;Therese L Provenzano;10/28/2013 - 12/20/2013
ART;110;"Humanities Through the Arts";2001;LEC;25759;TBA;Online;Joseph B Zubrick;09/03/2013 - 12/20/2013
ART;351;"Drawing";0001;LEC;25745;We 5:30PM - 8:10PM;Cyr Hall 204, Art Room;Therese L Provenzano;09/03/2013 - 12/20/2013
BIO;100;"General Biology";0001;LEC;26446;MoTh 9:30AM - 10:50AM;Cyr Hall 209, Biology lab;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
BIO;100L;"General Biology Lab";0001;LAB;26447;We 9:00AM - 11:40AM;Cyr Hall 209, Biology lab;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
BIO;130;"Introduction to Biotechnology";2001;LEC;26448;TBA;Online;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
BIO;130L;"Intro to Biotechnology Lab";0001;LAB;26449;We 12:00PM - 1:50PM;Cyr Hall 209, Biology lab;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
BIO;220L;"Anatomy";0005;LAB;30703;We 1:00PM - 2:50PM;Cyr Hall 206, Biology Lab;Stephen E Hansen;09/03/2013 - 12/20/2013
BIO;309;"Dendrology";0001;LEC;26455;MoTh 2:00PM - 4:50PM;Cyr Hall 209, Biology lab;Staff;09/03/2013 - 12/20/2013
BIO;310;"Taxonomy of Vascular Plants";0001;LEC;26456;TuFr 2:00PM - 4:50PM;Cyr Hall 209, Biology lab;Staff;09/03/2013 - 12/20/2013
BIO;363;"Human Nutrition";0001;LEC;26457;TuFr 9:30AM - 10:50AM;Old Model School 101;Deborah J Pringnitz;09/03/2013 - 12/20/2013
BIO;380;"Limnology";0001;LEC;26460;MoTh 12:30PM - 1:50PM;Cyr Hall 207;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
BIO;380L;"Limnology Lab";0001;LAB;26461;Th 2:00PM - 4:50PM;Cyr Hall 206, Biology Lab;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
BIO;401;"Pathophysiology";0002;LEC;26459;Mo 9:30AM - 10:50AM;Nadeau Hall 114A, Teleconferen;Deborah J Pringnitz;09/03/2013 - 12/20/2013;Fr 8:00AM - 9:20AM;Old Model School 101;Deborah J Pringnitz;09/03/2013 - 12/20/2013
BIO;452;"Field Ecology";0001;LEC;26462;Fr 8:00AM - 11:50AM;Cyr Hall 206, Biology Lab;Stephen E Hansen;09/03/2013 - 12/20/2013
BIO;498;"Senior Project";0001;RSG;26463;We 2:00PM - 4:50PM;Cyr Hall 203;Kimberly M Borges-Therien;09/03/2013 - 12/20/2013
CHY;100L;"Chemistry I Lab";0003;LAB;26470;Fr 2:00PM - 4:50PM;Cyr Hall 213, Chemistry Lab;Rameen Aryana;09/03/2013 - 12/20/2013
CHY;310;"Organic Chemistry I";2001;LEC;30239;TBA;Online;Rameen Aryana;09/03/2013 - 12/20/2013
CHY;310L;"Organic Chemistry Lab";0001;LAB;26472;Mo 2:00PM - 4:50PM;Cyr Hall 213, Chemistry Lab;Rameen Aryana;09/03/2013 - 12/20/2013
COS;103;"Introduction to Information Technology";2051;LEC;25949;TBA;Online;Dawn Danielle Susee;09/03/2013 - 12/20/2013
COS;206;"Introduction to Information Security";2051;LEC;25951;TBA;Online;Raymond T Albert;09/03/2013 - 12/20/2013
COS;221;"Advanced Excel";0001;LEC;30185;TuFr 12:25PM - 1:45PM;Nadeau Hall 105, Computer Lab;Raymond T Albert;10/28/2013 - 12/20/2013
COS;260;"Introduction to Programming";0001;LEC;25925;MoTh 9:30AM - 11:50AM;Nadeau Hall 105, Computer Lab;Raymond T Albert;09/03/2013 - 12/20/2013
COS;340;"Special Topics in Computer Science";2001;LEC;26588;TBA;Online;Mark H. Rosenbaum;09/03/2013 - 12/20/2013
