department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;101;"Cultural Anthropology";0002;LEC;25224;TBA;Web;Staff;09/03/2013 - 12/14/2013
ART;101;"2";0002;STU;24943;Tu 5:30PM - 8:20PM;Powers&nbsp; 208;Judith R Valentine;09/03/2013 - 12/14/2013
ART;102;"Art Fundamentals:";0001;STU;24944;MoFr 12:30PM - 1:50PM;Torrey&nbsp; B1;William C Schaefer;09/03/2013 - 12/14/2013
ART;201;"Art History I";0001;LEC;24945;MoFr 11:00AM - 12:20PM;Science&nbsp; 102;Gerard P NeCastro;09/03/2013 - 12/14/2013
ART;210;"Drawing I";0001;STU;25549;TuTh 11:00AM - 12:22PM;Powers&nbsp; 209;Bernie Vinzani;09/03/2013 - 12/14/2013
ART;216;"Book Arts I";0001;STU;25551;Th 5:30PM - 8:20PM;Dorward 3;Bernie Vinzani;09/03/2013 - 12/14/2013
ART;219;"Photography";0001;STU;25553;MoWe 2:00PM - 3:20PM;Powers&nbsp; 208;Christian G Sunde;09/03/2013 - 12/14/2013
ART;310;"Drawing II";0001;STU;25550;TuTh 11:00AM - 12:22PM;Powers&nbsp; 209;Bernie Vinzani;09/03/2013 - 12/14/2013
ART;313;"Photography II";0001;STU;25554;MoWe 2:00PM - 3:20PM;Powers&nbsp; 208;Christian G Sunde;09/03/2013 - 12/14/2013
ART;326;"Book Arts II";0001;STU;25552;Th 5:30PM - 8:20PM;Dorward 3;Bernie Vinzani;09/03/2013 - 12/14/2013
BIO;100;"Explorations in Biology";0001;LEC;24756;MoWe 3:00PM - 4:50PM;Science&nbsp; 120;Gerard P Zegers;09/03/2013 - 12/14/2013
BIO;110;"Human Anatomy &amp; Physiology I";0011;LAB;24723;Th 3:00PM - 4:50PM;Science&nbsp; 114;Sherrie A Sprangers;09/03/2013 - 12/14/2013
BIO;111;"General Zoology";0022;LAB;24741;Tu 8:00AM - 9:50AM;Science&nbsp; 114;Ellen E Hostert;09/03/2013 - 12/14/2013
BIO;112;"General Botany";0011;LAB;24744;Th 10:00AM - 11:50AM;Science&nbsp; 120;Eric Jones;09/03/2013 - 12/14/2013
BIO;114;"Careers in Fisheries &amp; Wildlife Biology";0001;LEC;24947;Mo 11:00AM - 12:50PM;Science&nbsp; 113;Gerard P Zegers;09/03/2013 - 12/14/2013
BIO;206;"Intro to Marine Biology";0011;LAB;24747;Tu 1:00PM - 4:50PM;Science&nbsp; 13;Gayle Kraus;09/03/2013 - 12/14/2013
BIO;211;"Field and Laboratory Techniques in Biology";0002;RSG;24753;TBA;TBA;Staff;TBA
BIO;229;"Plant Taxonomy";0011;LAB;24762;Tu 1:00PM - 4:50PM;Science&nbsp; 120;Eric Jones;09/03/2013 - 12/14/2013
BIO;235;"Introduction to Fisheries &amp; Wildlife Management";0001;LEC;30145;MoWeFr 1:00PM - 1:50PM;Science&nbsp; 109;Gerard P Zegers;09/03/2013 - 12/14/2013
BIO;245;"General Ecology";0011;LAB;24826;Th 1:00PM - 4:50PM;Science&nbsp; 120;Eric Jones;09/03/2013 - 12/14/2013
BIO;265;"Genetics";0011;LAB;24829;Th 9:00AM - 11:50AM;Science&nbsp; 114;Ellen E Hostert;09/03/2013 - 12/14/2013
BIO;310;"Special Topics in Mariculture";0001;LEC;24833;TBA;TBA;Staff;TBA
BIO;323;"Comparative Vertebrate Anatomy and Physiology";0011;LAB;24836;Tu 8:00AM - 11:50AM;Science&nbsp; 120;Sherrie A Sprangers;09/03/2013 - 12/14/2013
BIO;360;"Marine Ecology";0011;LAB;24843;Tu 7:30AM - 10:20AM;Torrey 106;Brian F Beal;09/03/2013 - 12/14/2013
BIO;401;"Senior Thesis in Biology";0001;THS;24852;TBA;TBA;Sherrie A Sprangers;09/03/2013 - 12/14/2013
BIO;402;"Senior Thesis in Biology";0001;THS;24853;TBA;TBA;Staff;TBA
BIO;403;"Senior Thesis in Biology";0001;THS;24854;TBA;TBA;Staff;TBA
BIO;404;"Senior Thesis in Biological Research";0001;THS;24855;TBA;TBA;Staff;TBA
