department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
AED;371;"Methods and Materials in Art Education";0001;LEC;1222;WeFr 2:10PM - 3:25PM;Lord Hall 202;Constant K Albertson;09/03/2013 - 12/13/2013;WeFr 2:10PM - 3:25PM;Lord Hall 205;Constant K Albertson;09/03/2013 - 12/13/2013
AED;372;"Foundations of Art Education";0001;LEC;1223;WeFr 12:30PM - 1:45PM;Lord Hall 205;Constant K Albertson;09/03/2013 - 12/13/2013;WeFr 12:30PM - 1:45PM;Lord Hall 200;Constant K Albertson;09/03/2013 - 12/13/2013
AED;373;"Introduction to Curriculum";0001;LEC;1224;WeFr 4:10PM - 5:25PM;Lord Hall 202;Constant K Albertson;09/03/2013 - 12/13/2013;WeFr 4:10PM - 5:25PM;Lord Hall 205;Constant K Albertson;09/03/2013 - 12/13/2013;Fr 4:10PM - 5:25PM;Lord Hall 300;Constant K Albertson;09/03/2013 - 12/13/2013;Fr 4:10PM - 5:25PM;Lord Hall 305;Constant K Albertson;09/03/2013 - 12/13/2013
AED;496;"Field Experience in Art Education";0001;FEX;1225;TBA;TBA;Constant K Albertson;09/03/2013 - 12/13/2013
AED;497;"Independent Study in Art Education";0002;IND;1227;TBA;TBA;Constant K Albertson;09/03/2013 - 12/13/2013
AED;498;"Directed Study in Art Education";0002;IND;1229;TBA;TBA;Constant K Albertson;09/03/2013 - 12/13/2013
AED;597;"Independent Study in Art Education";0002;IND;1231;TBA;TBA;Constant K Albertson;09/03/2013 - 12/13/2013
AED;598;"Directed Study in Art Education";0002;IND;2787;TBA;TBA;Constant K Albertson;09/03/2013 - 12/13/2013
ANT;101;"Introduction to Anthropology: Human Origins and Prehistory";0002;LEC;1234;MoWeFr 11:00AM - 11:50AM;Neville Hall 101;Gregory D Zaro;09/03/2013 - 12/13/2013
ANT;221;"Introduction to Folklore";0869;LEC;3783;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;09/25/2013 - 09/25/2013;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;10/09/2013 - 10/09/2013;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;10/23/2013 - 10/23/2013;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;11/06/2013 - 11/06/2013;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;11/20/2013 - 11/20/2013;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;12/04/2013 - 12/04/2013;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;09/11/2013 - 09/11/2013
ANT;256;"Ethnic Conflict";0990;LEC;1149;TBA;On-line Course;Henry L Munson;09/03/2013 - 12/13/2013
ANT;270;"Environmental Justice Movements in the United States";0001;LEC;3135;MoWeFr 12:10PM - 1:00PM;Jenness Hall 108;Darren J Ranco;09/03/2013 - 12/13/2013
ANT;431;"Folklore";0990;LEC;22963;TBA;On-line Course;Pauleena M Macdougall;09/03/2013 - 12/13/2013
ANT;458;"Anthropology of War";0001;LEC;22965;TuTh 9:30AM - 10:45AM;Shibles Hall 217;Staff;09/03/2013 - 12/13/2013
ANT;462;"Numerical Methods in Anthropology";0001;LEC;22966;TuTh 11:00AM - 12:15PM;Stevens Hall South 232A;Paul B Roscoe;09/03/2013 - 12/13/2013
ANT;464;"Ecological Anthropology";0001;LEC;3789;Mo 6:00PM - 8:30PM;Stevens Hall South 232A;Veronica C Ocampo-Raeder;09/03/2013 - 12/13/2013
ANT;469;"Theories of Religion";0990;LEC;1150;TBA;On-line Course;Henry L Munson;09/03/2013 - 12/13/2013
ANT;470;"Religion and Politics";0990;LEC;1151;TBA;On-line Course;Henry L Munson;09/03/2013 - 12/13/2013
ANT;492;"Capstone in Anthropology";0001;IND;2952;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ANT;497;"Department Projects";0001;IND;1236;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ANT;597;"Advanced Topics in Anthropology";0004;IND;4336;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;270;"Topical Survey in History of Art";0860;LEC;3520;TuTh 4:00PM - 5:15PM;Lord Hall 200;Karen A Linehan;09/03/2013 - 12/13/2013
ARH;361;"Topics in Art History";0860;LEC;1240;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;09/14/2013 - 09/21/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;11/09/2013 - 11/09/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;12/07/2013 - 12/07/2013
ARH;397;"Independent Study in Art History";0003;IND;1243;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;398;"Directed Study in Art History";0004;IND;3158;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;452;"Critical Methods in History of Art";0990;LEC;23226;Mo 3:10PM - 5:40PM;On-line Course;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;496;"Field Experience in Art History";0001;FEX;1247;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;497;"Independent Study in Art History";0003;IND;1250;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;498;"Directed Study in Art History";0003;IND;1253;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;499;"Capstone Experience in History of Art";0001;IND;1254;TBA;TBA;;09/03/2013 - 12/13/2013
ARH;597;"Independent Graduate Study";0860;IND;2819;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;09/14/2013 - 09/21/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;11/09/2013 - 11/09/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;12/07/2013 - 12/07/2013
