department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;100;"Introduction to Anthropology";0002;LEC;24513;TuTh 9:30AM - 10:45AM;Folsom Hall 105;David E Putnam;09/03/2013 - 12/19/2013
ANT;110;"World Religions";0001;LEC;24132;TBA;ONLINE;Patricia Lynn Eldershaw;09/03/2013 - 12/19/2013
ANT;200;"Archaeology";0001;LEC;24130;We 1:00PM - 3:45PM;Houlton Center;David E Putnam;09/03/2013 - 12/19/2013
ART;101;"Basic Design";0002;STU;30701;TuTh 3:30PM - 5:30PM;Pullen Hall 311;Hyrum Benson;09/03/2013 - 12/19/2013
ART;107;"Experience of the Arts";0004;LEC;24023;TBA;ONLINE;Heather Sincavage;09/03/2013 - 12/19/2013
ART;108;"Introduction to Graphic Design";0001;STU;28962;TuTh 9:30AM - 11:20AM;Folsom Hall 101B;Hyrum Benson;09/03/2013 - 12/19/2013
ART;116;"Introduction to Film";0002;LEC;27566;We 6:30PM - 9:15PM;Pullen Hall 210;Richard Lee Zuras;09/03/2013 - 12/19/2013
ART;211;"Art History I";0001;LEC;24028;TBA;ONLINE;Elizabeth Flaherty;09/03/2013 - 12/19/2013
ART;242;"Ceramics I";0001;STU;24030;MoWe 2:00PM - 3:50PM;Wieden Hall STUDI;Hyrum Benson;09/03/2013 - 12/19/2013
ART;261;"Painting I";0002;STU;28963;Tu 1:00PM - 5:00PM;Houlton Center;Cheryl Ann Kittredge;09/03/2013 - 12/19/2013
ART;281;"Foundation for Art Education";0001;LEC;24033;TBA;UMPI Arranged Space;Heather L Nunez;09/03/2013 - 12/19/2013
ART;342;"Ceramics II";0001;STU;24039;We 6:00PM - 9:30PM;Wieden Hall STUDI;Hyrum Benson;09/03/2013 - 12/19/2013
ART;351;"Photography II";0001;STU;24032;Mo 6:00PM - 9:40PM;Pullen Hall 311;Hume Anderson Giles;09/03/2013 - 12/19/2013
ART;361;"Painting II";0001;STU;24040;MoWe 9:00AM - 10:50AM;Pullen Hall 311;Hume Anderson Giles;09/03/2013 - 12/19/2013
ART;386;"Special Topics in Art";7W01;LEC;28964;Fr 8:00AM - 11:50AM;Pullen Hall 311;Heather Sincavage;10/25/2013 - 12/06/2013
ART;397;"Independent Study";0002;IND;30749;TBA;UMPI Arranged Space;Hume Anderson Giles;09/03/2013 - 12/19/2013
ART;403;"Film Seminar";0001;LEC;24094;Mo 6:30PM - 9:15PM;Pullen Hall 210;Richard Lee Zuras;09/03/2013 - 12/19/2013
ART;413;"Renaissance Art History";0001;LEC;29641;TBA;ONLINE;Elizabeth Flaherty;09/03/2013 - 12/19/2013
ART;499;"Senior Art Project";0001;STU;24096;Fr 12:00PM - 3:00PM;Pullen Hall 311;Hume Anderson Giles;09/03/2013 - 12/19/2013
BIO;105;"Biology for Everyday Life";0001;LEC;29825;TBA;ONLINE;Krista M Delahunty;09/03/2013 - 12/19/2013
BIO;112;"General Biology I";LCLB;LAB;24526;Mo 2:00PM - 4:45PM;Folsom Hall 304;Jason Clarence Johnston;09/03/2013 - 12/19/2013
BIO;260;"Principles of Human Anatomy &amp; Physiology";0002;LAB;24575;Mo 2:00PM - 4:45PM;Folsom Hall 301;Scott Dobrin;09/03/2013 - 12/19/2013
BIO;261;"Human Anatomy and Physiology I";0005;LAB;24584;Tu 2:00PM - 4:00PM;Folsom Hall 301;Rachael Hannah;09/03/2013 - 12/19/2013
BIO;350;"Genetics";0001;LEC;24606;TuTh 9:30AM - 12:15PM;Folsom Hall 203;Judith Ladd Roe;09/03/2013 - 12/19/2013
CHY;111;"General Chemistry I";0005;LAB;24619;Tu 9:30AM - 12:15PM;Folsom Hall 202;Staff;09/03/2013 - 12/19/2013
CHY;221;"Organic Chemistry I";003;LAB;30785;Th 2:00PM - 4:45PM;Folsom Hall 202;Michael A Knopp;09/03/2013 - 12/19/2013
ECO;100;"Contemporary Economics";0002;LEC;27851;MoWe 2:00PM - 3:15PM;Houlton Center;Robert L Murray;09/03/2013 - 12/19/2013
ECO;207;"Macro &amp; Micro Economics";0001;LEC;27888;TuTh 3:30PM - 4:45PM;Folsom Hall 206;Robert L Murray;09/03/2013 - 12/19/2013
EDU;150;"Exploring Edu in Contemp Amer";0002;LEC;30628;TuTh 11:00AM - 12:15PM;Pullen Hall 113;Tomasz Z Herzog;09/03/2013 - 12/19/2013
EDU;200;"Learner &amp; Learning Process";0002;LEC;30630;TBA;ONLINE;Zhijun Wu;09/03/2013 - 12/19/2013
EDU;232;"Language Development in Exceptional Learners";0001;LEC;27742;Th 6:00PM - 8:45PM;Normal 104A;Polly J Earl;09/03/2013 - 12/19/2013
EDU;261;"Educational Technology in the Classroom";0001;LEC;27245;TuTh 2:00PM - 3:15PM;Folsom Hall 101A;Terry J Chalou;09/03/2013 - 12/19/2013
EDU;311;"Assessments of the Young Child";7W01;LEC;30659;TBA;ONLINE;Wendy L Ross;10/21/2013 - 12/06/2013
EDU;322;"Instructional Strategies in Special Education";0001;LEC;27322;MoWe 2:00PM - 3:15PM;Normal 104A;William A Breton;09/03/2013 - 12/19/2013
EDU;341;"Infant Toddler Development";6W01;LEC;30658;TBA;ONLINE;Wendy L Ross;09/03/2013 - 10/11/2013
EDU;351;"Teaching Elementary Reading";0003;LEC;30636;MoWe 8:00AM - 9:15AM;Normal 104A;Barbara Smith Chalou;09/03/2013 - 12/19/2013
EDU;352;"Collaboration &amp; Consultation in General and Special Education";0001;LEC;27251;MoWe 11:00AM - 12:15PM;Normal 104A;William A Breton;09/03/2013 - 12/19/2013
EDU;354;"Early Childhood Literacy";0001;LEC;30660;MoWe 2:00PM - 3:15PM;Normal 106;Wendy L Ross;09/03/2013 - 12/19/2013
EDU;357;"Children's Literature";0001;LEC;26795;TuTh 9:30AM - 10:45AM;Normal 106;Barbara Smith Chalou;09/03/2013 - 12/19/2013
EDU;359;"Teaching of French (K";001;LEC;24117;TBA;ONLINE;Claire Davidshofer;09/03/2013 - 12/19/2013
EDU;366;"Teach Math in Elem School";0001;LEC;27248;TBA;ONLINE;Zhijun Wu;09/03/2013 - 12/19/2013
EDU;371;"Teach Social Studies in Elemen";0001;LEC;27246;TuTh 3:30PM - 4:45PM;Folsom Hall 303;Tomasz Z Herzog;09/03/2013 - 12/19/2013
EDU;387;"Teaching Students with Special Needs in Inclusive Classrooms";0002;LEC;30629;MoWe 3:30PM - 4:45PM;Normal 104A;William A Breton;09/03/2013 - 12/19/2013
EDU;393;"Writing Theory and Practice";0001;LEC;29108;TuTh 9:30AM - 10:45AM;Pullen Hall 214;Deborah L Hodgkins;09/03/2013 - 12/19/2013
EDU;395;"Internship in Teacher Educatio";0002;LEC;29739;TBA;UMPI Arranged Space;Barbara Smith Chalou;09/03/2013 - 12/19/2013
EDU;495;"Student Teaching";0001;FEX;27282;TBA;UMPI Arranged Space;V John Stewart;09/03/2013 - 12/19/2013
ENG;100;"Introduction to College Reading and Writing";LC03;LEC;28954;TuTh 8:00AM - 9:15AM;Normal 104B;Jacquelyn Lowman;09/03/2013 - 12/19/2013;Th 9:30AM - 10:20AM;Normal 104B;Jacquelyn Lowman;09/03/2013 - 12/19/2013
ENG;101;"College Composition";LC04;LEC;28959;TuTh 11:00AM - 12:15PM;Pullen Hall 214;Deborah L Hodgkins;09/03/2013 - 12/19/2013
ENG;116;"Introduction to Film";0002;LEC;27568;We 6:30PM - 9:15PM;Pullen Hall 210;Richard Lee Zuras;09/03/2013 - 12/19/2013
ENG;121;"College Composition II";0006;LEC;24067;TuTh 9:30AM - 10:45AM;Folsom Hall 303;Anthony D Scott;09/03/2013 - 12/19/2013
ENG;151;"Introduction to Literature";0003;LEC;24072;TuTh 2:00PM - 3:15PM;Pullen Hall 216;Richard Lee Zuras;09/03/2013 - 12/19/2013
ENG;211;"Introduction to Creative Writing";LC05;LEC;29747;TuTh 2:00PM - 3:15PM;Pullen Hall 210;Anthony D Scott;09/03/2013 - 12/19/2013
ENG;240;"Med &amp; Early Mod Literature";0010;LEC;28973;Mo 1:00PM - 3:45PM;Houlton HS;Lea Knudsen Allen;09/03/2013 - 12/19/2013
ENG;300;"Major Authors";0001;LEC;28937;TBA;ONLINE;Raymond J Rice;09/03/2013 - 12/19/2013
ENG;309;"Studies in the Novel";0001;LEC;24079;TBA;ONLINE;Melissa M Crowe;09/03/2013 - 12/19/2013
ENG;311;"Poetry Workshop";0001;LEC;24081;MoWe 3:30PM - 4:45PM;Pullen Hall 216;Richard Lee Zuras;09/03/2013 - 12/19/2013
