department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
AED;221;"Practicum in Art Education";0001;RSG;24372;Tu 4:10PM - 6:40PM;Drawing Studio 1 - G;Kelly Hrenko;09/03/2013 - 12/23/2013
AED;421;"Seminar in Art Education";0001;SEM;20011;Mo 4:10PM - 6:40PM;Drawing Studio 1 - G;Kelly Hrenko;09/03/2013 - 12/23/2013
AED;428;"Independent Study in Art Education";0012;IND;20012;TBA;TBA;Kelly Hrenko;09/03/2013 - 12/23/2013
ANT;101;"Anthropology: The Cultural View";0002;LEC;29879;Mo 4:00PM - 6:30PM;Lewiston-Auburn 104;Marcia-Anne Dobres;09/03/2013 - 12/23/2013
ANT;241;"Tourism and Community Development";0001;LEC;22644;Tu 3:30PM - 6:00PM;Bailey 403 - G;Tracy S Michaud-Stutzman;09/03/2013 - 12/23/2013
ANT;299;"Topics";0002;LEC;25200;MoWe 11:00AM - 12:15PM;Bailey 319 - G;Sarah Charlotte Lockridge;09/03/2013 - 12/23/2013
ANT;399;"Topics";0001;LEC;24358;MoWe 9:30AM - 10:45AM;Bailey 315 - G;Marcia-Anne Dobres;09/03/2013 - 12/23/2013
ARH;112;"Art History: Renaissance to the Present";0001;LEC;20039;TuTh 2:00PM - 3:15PM;Bailey 201 - G;William Klinghofer;09/03/2013 - 12/23/2013
ARH;318;"History of Photography";0001;LEC;24369;TuTh 11:00AM - 12:15PM;Bailey 201 - G;Kim T Grant;09/03/2013 - 12/23/2013
ARH;326;"Nineteenth";0001;SEM;24370;MoWe 11:00AM - 12:15PM;Bailey 201 - G;Donna M Cassidy;09/03/2013 - 12/23/2013
ARH;329;"Asian Art";0001;LEC;24371;MoWe 4:10PM - 5:25PM;Bailey 201 - G;Virginia C Goodlett;09/03/2013 - 12/23/2013
ARH;412;"Topics in Art History";0001;LEC;22156;Tu 4:10PM - 6:40PM;Luther Bonney 208 - P;Donna M Cassidy;09/03/2013 - 12/23/2013
ARH;418;"Independent Study in Art History";0004;IND;20041;TBA;TBA;Staff;TBA
ART;231;"Introduction to Ceramics";0001;STU;20049;TuTh 1:00PM - 3:30PM;Robie/Andrews 20 - G;David Schneider;09/03/2013 - 12/23/2013
ART;251;"Drawing: Media and Strategies";0001;STU;20050;Fr 9:00AM - 11:00AM;Drawing Studio 2 - G;George Burk;09/03/2013 - 12/23/2013;Fr 1:00PM - 4:00PM;Drawing Studio 2 - G;George Burk;09/03/2013 - 12/23/2013
ART;261;"Introduction to Painting";0001;STU;20051;MoWe 1:00PM - 3:30PM;Academy 102 - G;George Burk;09/03/2013 - 12/23/2013
ART;291;"Sculpture: Additive and Subtractive Processes";0001;STU;21586;TuTh 8:00AM - 10:30AM;Robie/Andrews 3 - G;Michael J Shaughnessy;09/03/2013 - 12/23/2013
ART;322;"Multi";0001;STU;30079;MoWe 4:00PM - 6:40PM;John Mitchell Center 265 - G;Raphael A Diluzio;09/03/2013 - 12/23/2013
ART;331;"Intermediate Ceramics I";0001;STU;20053;TuTh 8:00AM - 10:30AM;Robie/Andrews 20 - G;David Schneider;09/03/2013 - 12/23/2013
ART;332;"Intermediate Ceramics II";0001;STU;21665;TuTh 8:00AM - 10:30AM;Robie/Andrews 20 - G;David Schneider;09/03/2013 - 12/23/2013
ART;351;"Intermediate Drawing I: The Figure";0001;STU;21587;TuTh 4:00PM - 6:40PM;Drawing Studio 2 - G;James P Flahaven;09/03/2013 - 12/23/2013
ART;362;"Intermediate Painting: Mixed Media";0001;STU;21666;MoWe 8:00AM - 10:30AM;Academy 201 - G;George Burk;09/03/2013 - 12/23/2013
ART;371;"Intermediate Photography";0001;STU;21054;TuTh 8:00AM - 10:30AM;Robie/Andrews 5 - G;Jennifer C McDermott;09/03/2013 - 12/23/2013
ART;381;"Special Topics in Printmaking";0001;STU;24375;TuTh 1:00PM - 3:30PM;John Mitchell Center 265 - G;Damir Porobic;09/03/2013 - 12/23/2013
ART;391;"Intermediate Sculpture";0001;STU;24376;MoWe 1:00PM - 3:30PM;Robie/Andrews 3 - G;Duncan A Hewitt;09/03/2013 - 12/23/2013
ART;392;"Intermediate Sculpture";0001;STU;24377;MoWe 1:00PM - 3:30PM;Robie/Andrews 3 - G;Duncan A Hewitt;09/03/2013 - 12/23/2013
ART;400;"Internship in the Visual Arts";0001;RSG;20054;TBA;TBA;Raphael A Diluzio;09/03/2013 - 12/23/2013
ART;407;"Advanced Problems in Art";0001;STU;20055;TBA;TBA;James P Flahaven;09/03/2013 - 12/23/2013
ART;408;"Independent Study in Art";0002;IND;30828;TBA;TBA;Michael J Shaughnessy;09/03/2013 - 12/23/2013
ART;420;"Advanced Studio in Digital Art I";0001;STU;21668;MoWe 4:00PM - 6:40PM;John Mitchell Center 265 - G;Raphael A Diluzio;09/03/2013 - 12/23/2013
ART;421;"Advanced Studio in Digital Art II";0001;STU;21669;MoWe 4:00PM - 6:40PM;John Mitchell Center 265 - G;Raphael A Diluzio;09/03/2013 - 12/23/2013
ART;431;"Advanced Ceramics I";0001;STU;20057;TuTh 8:00AM - 10:30AM;Robie/Andrews 20 - G;David Schneider;09/03/2013 - 12/23/2013
ART;432;"Advanced Ceramics II";0001;STU;20058;TuTh 8:00AM - 10:30AM;Robie/Andrews 20 - G;David Schneider;09/03/2013 - 12/23/2013
ART;451;"Advanced Drawing I";0001;STU;20059;TuTh 4:00PM - 6:40PM;Drawing Studio 2 - G;James P Flahaven;09/03/2013 - 12/23/2013
