"department","courseNum","courseTitle","sectionNum","courseType","callNum","meetingTime","meetingLocation","instructor","startEndDate"
"AED",371,"Methods and Materials in Art Education",1,"LEC",1014,"WeFr 2:10PM - 3:25PM","Lord Hall 202","Constant K Albertson","8/29/2011 - 12/9/2011"
"AED",372,"Foundations of Art Education",1,"LEC",1015,"WeFr 12:30PM - 1:45PM","Lord Hall 205","Laurie E Hicks","8/29/2011 - 12/9/2011"
"AED",373,"Introduction to Curriculum",1,"LEC",1016,"WeFr 4:10PM - 5:25PM","Lord Hall 202","Constant K Albertson","8/29/2011 - 12/9/2011"
"AED",496,"Field Experience in Art Education",1,"FEX",1017,"TBA","TBA","Constant K Albertson","8/29/2011 - 12/9/2011"
"AED",497,"Independent Study in Art Education",1,"IND",1018,"TBA","TBA","Laurie E Hicks","8/29/2011 - 12/9/2011"
"AED",497,"Independent Study in Art Education",2,"IND",1019,"TBA","TBA","Constant K Albertson","8/29/2011 - 12/9/2011"
"AED",498,"Directed Study in Art Education",1,"IND",1020,"TBA","TBA","Laurie E Hicks","8/29/2011 - 12/9/2011"
"AED",498,"Directed Study in Art Education",2,"IND",1021,"TBA","TBA","Constant K Albertson","8/29/2011 - 12/9/2011"
"AED",597,"Independent Study in Art Education",1,"IND",1022,"TBA","TBA","Laurie E Hicks","8/29/2011 - 12/9/2011"
"AED",597,"Independent Study in Art Education",2,"IND",1023,"TBA","TBA","Constant K Albertson","8/29/2011 - 12/9/2011"
"AED",598,"Directed Study in Art Education",1,"IND",1024,"TBA","TBA","Laurie E Hicks","8/29/2011 - 12/9/2011"
"AED",598,"Directed Study in Art Education",2,"IND",2884,"TBA","TBA","Constant K Albertson","8/29/2011 - 12/9/2011"
"ANT",101,"Introduction to Anthropology: Human Origins and Prehistory",1,"LEC",1025,"MoWeFr 10:00AM - 10:50AM","Neville Hall 101","Gregory D Zaro","8/29/2011 - 12/9/2011"
"ANT",101,"Introduction to Anthropology: Human Origins and Prehistory",2,"LEC",1026,"MoWeFr 11:00AM - 11:50AM","Neville Hall 101","Gregory D Zaro","8/29/2011 - 12/9/2011"
"ANT",120,"Religions of the World",990,"LEC",4099,"TBA","On-line Course",,"8/29/2011 - 12/9/2011"
"ANT",210,"Physical Anthropology",1,"LEC",11594,"TuTh 2:00PM - 3:15PM","Stevens Hall South 232A","Marcella H Sorg","8/29/2011 - 12/9/2011"
"ANT",212,"The Anthropology of Food",1,"LEC",9764,"TuTh 12:30PM - 1:45PM","Donald P Corbett Business 115","Veronica C Ocampo-Raeder","8/29/2011 - 12/9/2011"
"ANT",245,"Sex and Gender in Cross",1,"LEC",7261,"TuTh 11:00AM - 12:15PM","Lord Hall 100","Lisa K Neuman","8/29/2011 - 12/9/2011"
"ANT",256,"Ethnic Conflict",1,"LEC",3528,"Tu 4:00PM - 6:30PM","Little Hall 140","Henry L Munson","8/29/2011 - 12/9/2011"
"ANT",270,"Environmental Justice Movements in the United States",1,"LEC",3366,"MoWeFr 11:00AM - 11:50AM","Jenness Hall 108","Darren J Ranco","8/29/2011 - 12/9/2011"
"ANT",300,"Basic Theory in Cultural Anthropology",1,"LEC",1027,"Mo 3:10PM - 5:40PM","Stevens Hall South 104A","Veronica C Ocampo-Raeder","8/29/2011 - 12/9/2011"
"ANT",372,"North American Prehistory",1,"LEC",7262,"TuTh 9:30AM - 10:45AM","Stevens Hall 375","Brian S Robinson","8/29/2011 - 12/9/2011"
"ANT",425,"Oral History and Folklore: Fieldwork",669,"LEC",7911,"TBA","On-line Course","Pauleena M Macdougall","8/29/2011 - 12/9/2011"
"ANT",425,"Oral History and Folklore: Fieldwork",869,"LEC",7263,"TBA","On-line Course","Pauleena M Macdougall","8/29/2011 - 12/9/2011"
"ANT",441,"People and Cultures of the Pacific Islands",1,"LEC",7264,"MoWeFr 9:00AM - 9:50AM","Stevens Hall North 237","Paul B Roscoe","8/29/2011 - 12/9/2011"
"ANT",461,"Islamic Fundamentalism",1,"LEC",7267,"Mo 6:00PM - 8:30PM","Stevens Hall South 104A","Henry L Munson","8/29/2011 - 12/9/2011"
"ANT",465,"Political Anthropology",1,"LEC",7266,"TuTh 9:30AM - 10:45AM","Stevens Hall North 119","James M Acheson","8/29/2011 - 12/9/2011"
"ANT",475,"Environmental Archaeology",1,"LEC",7268,"MoWeFr 12:10PM - 1:00PM","Stevens Hall North 119","Staff","8/29/2011 - 12/9/2011"
"ANT",492,"Capstone in Anthropology",1,"IND",3114,"TBA","TBA",,"8/29/2011 - 12/9/2011"
"ANT",497,"Department Projects",1,"IND",1028,"TBA","TBA","Staff","8/29/2011 - 12/9/2011"
"ANT",553,"Institutions and the Management of Common Pool Resources",1,"LEC",12579,"TBA","TBA","James M Acheson","8/29/2011 - 12/9/2011"
