Department,CourseNum,Section,ISBN,Title
ANT,102,0001,9781111115265,""
ANT,102,0002,9781111115265,""
ANT,120,0990,9780495808794,"ANTHOLOGY OF WORLD SCRIPTURES"
ANT,140,0990,9780131928787,"ANCIENT CIVILIZATIONS"
ANT,249,0001,9780800629311,"BETRAYAL:GERMAN CHURCHES AND THE HOLOCAUST"
ANT,260,0500,9780871319043,"BONES: FORENSIC DETECTIVE'S CASEBOOK"
ANT,300,0001,9780073405223,"ANTHROPOLOGICAL THEORY"
ANT,317,0001,9780495602910,"ARCHAEOLOGY"
ANT,420,0001,9780816519637,"HUMAN IMPACT ON ANCIENT ENVIRONMENTS"
ANT,430,0001,9781856496247,"DECOLONIZING METHODOLOGIES"
ANT,435,0001,9780262661904,"LOGIC OF SUFFICIENCY"
ANT,467,0001,9780881330762,"CHANGING JAPAN"
ANT,470,0001,9780745642963,"HAMAS"
ARH,100,0500,9780073379203,"LIVING WITH ART"
ARH,100,0665,9780073379203,"LIVING WITH ART"
ARH,155,0001,9780495573609,"GARDNER'S ART THROUGH THE AGES...WESTERN VOL.1"
ARH,155,0400,9780495573609,"GARDNER'S ART THROUGH THE AGES...WESTERN VOL.1"
ARH,155,0990,9780495573609,"GARDNER'S ART THROUGH THE AGES...WESTERN VOL.1"
ARH,156,0001,9780495573647,"GARDNER'S ART...WESTERN PERSPECTIVE V.2"
ARH,156,0500,9780495573647,"GARDNER'S ART...WESTERN PERSPECTIVE V.2"
ARH,262,0001,9780136062066,"HISTORY OF MODERN ART"
ARH,270,0001,9782757203071,"EXPANDING HORIZONS"
ARH,366,0001,9780874271225,"AMERICAN CENTURY"
ARH,369,0990,9780253222602,"INTRO TO DOCUMENTARY"
ARH,493,0001,9780521779845,"CAMBRIDGE COMPANION TO GIOTTO"
ARH,493,0870,9780521779845,"CAMBRIDGE COMPANION TO GIOTTO"
ART,182,0869,9781584505204,"COMPLETE DIGITAL PHOTOGRAPHY"
ART,272,0001,9780810992443,"PHOTOGRAPHY REBORN"
AST,109,0001,9781429274135,"DISCOVERING THE UNIVERSE 8E W/ASTRONOTES+ASTROPORTAL ACCESS"
AST,109,0400,9781429274135,"DISCOVERING THE UNIVERSE 8E W/ASTRONOTES+ASTROPORTAL ACCESS"
AST,109,0990,9781429274135,"DISCOVERING THE UNIVERSE 8E W/ASTRONOTES+ASTROPORTAL ACCESS"
AST,215,0001,9780521529273,"ASTRONOMY"
AVS,349,0001,9780132447362,"SCIENTIFIC FARM ANIMAL PRODUCTION"
AVS,402,0001,9780313330407,"HOW TO WRITE & PUBLISH A SCIENTIFIC PAPER"
AVS,405,0860,9780813816760,"DOMESTIC ANIMAL BEHAVIOR"
AVS,590,0003,9780851316888,"BEHAVIOUR OF HOURSES"
BIO,100,0001,9780840005823,"BIO 100 STANDARD LAB MANUAL W/BINDER"
BIO,200,0001,9780840008398,"BIO 100 ZIPPY DISSECTING KIT"
BIO,208,0001,9780840008015,"BIO 208 LAB MANUAL"
BIO,222,0001,9780077280093,"ESSENTIALS OF BIOLOGY"
BIO,310,0001,9780716710073,"BIOLOGY OF PLANTS"
BIO,319,0001,9780073383224,"ECOLOGY"
BIO,335,0001,9780716769590,"ATLAS & DISSECTION GUIDE FOR COMPARATIVE ANATOMY"
BIO,336,0001,9780840008725,"BIO 336 LAB MANUAL W/BINDER"
BIO,350,0001,9781429230407,"GENETICS ESSENTIALS:CONCEPTS & CONNECTIONS"
BIO,354,0001,9780070121997,"ANIMAL BEHAVIOR"
BIO,392,0002,9781603425506,"STOREY'S GT KEEPING HONEY BEES"
BIO,392,0004,9780716749837,"ORNITHOLOGY"
BIO,421,0001,9780135137321,"CLINICAL LABORATORY HEMATOLOGY (W/CD)"
BIO,434,0001,9780618225941,"FIELD GDE TO BIRD SONGS:  EAST & CENT N AMER CD"
BIO,441,0001,9780763738747,"BIOIMAGING"
BIO,465,0001,9780878933921,""
BIO,474,0001,9780878934393,"FROM NEURON TO BRAIN"
BIO,474,0981,9780878934393,"FROM NEURON TO BRAIN"
BIO,511,0001,9781405131148,"ECOLOGY OF INSECTS 2ND 08 BLACKWELL PB"
BIO,574,0001,9780878934393,"FROM NEURON TO BRAIN"
BIO,597,0004,9780878930890,"SPECIATION"
BLE,202,0001,9780131569881,"TRANSPORT PHENOMENA IN BIOLOGICAL SYSTEMS"
BMB,208,0001,9780077229405,""
BMB,210,0001,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,210,0002,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,210,0003,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,210,0004,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,210,0005,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,210,0006,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,210,0007,9780077409135,"CUSTOM LAB MANUAL F/BMB 210 UMAINE"
BMB,280,0001,9780815341291,"ESSENTIAL CELL BIOLOGY (W/CD)"
BMB,305,0003,9780895827050,"MICROBIOLOGY LABORATORY THEORY & APPL: BRIEF ED"
BMB,322,0001,9780716771081,"LEHNINGER PRIN OF BIOCHEMISTRY"
BMB,323,0001,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0002,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0003,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0004,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0005,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0006,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0007,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,323,0008,9780805331110,"MODERN EXPERIMENTAL BIOCHEMISTRY"
BMB,420,0001,9781405135436,"INFECTIOUS DISEASE"
BMB,421,0001,9780840002174,"BMB 421 LAB NOTES"
BMB,455,0001,9781555814533,"VIROLOGY:MOLECULAR BIOLOGY+PATHOGENESIS"
BMB,460,0001,9780716771081,"LEHNINGER PRIN OF BIOCHEMISTRY"
BUA,201,0001,9780077269838,"CONNECT ACCESS CARD F/FUND. FINANCIAL ACCOUNTING CONCEPTS"
BUA,201,0002,9780077269838,"CONNECT ACCESS CARD F/FUND. FINANCIAL ACCOUNTING CONCEPTS"
BUA,201,0003,9780077405168,""
BUA,201,0004,9780077269838,"CONNECT ACCESS CARD F/FUND. FINANCIAL ACCOUNTING CONCEPTS"
BUA,202,0001,9780077342517,"MANAGERIAL ACCOUNTING (SPECIAL BINDER-READY VERSION)"
BUA,202,0002,9780077342517,"MANAGERIAL ACCOUNTING (SPECIAL BINDER-READY VERSION)"
BUA,202,0003,9780077342517,"MANAGERIAL ACCOUNTING (SPECIAL BINDER-READY VERSION)"
BUA,202,0004,9780077342517,"MANAGERIAL ACCOUNTING (SPECIAL BINDER-READY VERSION)"
BUA,202,0990,9780077342517,"MANAGERIAL ACCOUNTING (SPECIAL BINDER-READY VERSION)"
BUA,220,0001,9780615275352,"ETHICS RECESSION"
BUA,220,0002,9780615275352,"ETHICS RECESSION"
BUA,235,0001,9781133011422,"ASSSESSMENT TRAINING & PROJECTSV6 W/PKG MIS & REVIEW CARDS"
BUA,235,0002,9781133011422,"ASSSESSMENT TRAINING & PROJECTSV6 W/PKG MIS & REVIEW CARDS"
BUA,302,0001,9780470437261,"INTERMEDIATE ACCOUNTING W/WILEY PLUS"
BUA,302,0002,9780470437261,"INTERMEDIATE ACCOUNTING W/WILEY PLUS"
BUA,306,0001,9780324559675,"COST MANAGEMENT:ACCT.+CONTROL"
BUA,306,0002,9780324559675,"COST MANAGEMENT:ACCT.+CONTROL"
