"department","courseNum","courseTitle","sectionNum","courseType","callNum","meetingTime","meetingLocation","instructor","startEndDate"
"AED",597,"Independent Study in Art Education",1,"IND",1862,"TBA","TBA","Roger Dell","5/9/2011 - 8/19/2011"
"ANT",120,"Religions of the World",990,"LEC",1031,"TBA","On-line Course",,"5/16/2011 - 7/1/2011"
"ANT",249,"Religion and Violence",990,"LEC",1108,"TBA","TBA","Henry L Munson","7/5/2011 - 8/19/2011"
"ANT",422,"Folklore of Maine and The Maritime Provinces",990,"LEC",3070,"TBA","On-line Course","Pauleena M Macdougall","6/13/2011 - 8/5/2011"
"ANT",492,"Capstone in Anthropology",1,"IND",1137,"TBA","TBA","Staff","5/9/2011 - 8/19/2011"
"ANT",497,"Department Projects",1,"IND",1138,"TBA","TBA","Staff","5/9/2011 - 8/19/2011"
"ANT",597,"Advanced Topics in Anthropology",1,"IND",1140,"TBA","TBA","Staff","TBA"
"ANT",597,"Advanced Topics in Anthropology",2,"IND",1142,"TBA","TBA","Staff","TBA"
"ARH",496,"Field Experience in Art History",1,"FEX",1850,"TBA","TBA","Michael H Grillo","5/9/2011 - 8/19/2011"
"ART",107,"Topics: Intro Arts",665,"STU",5289,"MoFrSaSu 9:30AM - 4:30PM","Fred Hutchinson Center","Dina M Petrillo","6/17/2011 - 6/20/2011"
"ART",180,"Photography I",1,"LAB",3233,"MoTuWeThFr 9:00AM - 12:00PM","Carnegie Hall 102","Michael H Grillo","5/9/2011 - 5/27/2011"
"ART",182,"Photography and Digital Imaging",869,"LAB",1736,"Sa 9:00AM - 12:00PM","Lord Hall 311","Michael H Grillo","5/31/2011 - 7/9/2011"
"ART",260,"Topics in Studio Art",3,"LAB",1784,"MoTuWeThFr 9:00AM - 12:00PM","East Annex 124",,"5/9/2011 - 5/27/2011"
"ART",260,"Topics in Studio Art",665,"LAB",3234,"TuTh 9:00AM - 5:00PM","Fred Hutchinson Center","Kerstin L Engman","7/5/2011 - 8/4/2011"
"ART",260,"Topics in Studio Art",666,"LAB",1024,"MoWe 9:00AM - 5:00PM","Fred Hutchinson Center","Dina M Petrillo","5/9/2011 - 6/15/2011"
"ART",260,"Topics in Studio Art",667,"LAB",1002,"TuTh 9:00AM - 5:00PM","Fred Hutchinson Center","Kerstin L Engman","5/31/2011 - 6/30/2011"
"ART",360,"Topics in Studio Art",1,"LAB",1766,"TuWeFr 9:00AM - 12:00PM","Old Fire Station 100",,"5/31/2011 - 7/1/2011"
"ART",360,"Topics in Studio Art",3,"LAB",1734,"MoTuWeThFr 9:00AM - 12:00PM","East Annex 124",,"5/9/2011 - 5/27/2011"
"ART",360,"Topics in Studio Art",665,"LAB",3235,"TuTh 9:00AM - 5:00PM","Fred Hutchinson Center","Kerstin L Engman","7/5/2011 - 8/4/2011"
"ART",360,"Topics in Studio Art",667,"LAB",1003,"TuTh 9:00AM - 5:00PM","Fred Hutchinson Center","Kerstin L Engman","5/31/2011 - 6/30/2011"
"ART",397,"Independent Study in Studio Art",1,"IND",1792,"TBA","TBA","Staff","5/9/2011 - 8/19/2011"
"ART",460,"Topics in Studio Art",1,"LAB",1152,"TuWeFr 9:00AM - 12:00PM","Old Fire Station 100",,"5/31/2011 - 7/1/2011"
"ART",460,"Topics in Studio Art",2,"LAB",3237,"MoTuWeThFr 9:00AM - 5:00PM","Lengyel Hall 121","Sheridan L Kelley","8/15/2011 - 8/19/2011"
"ART",460,"Topics in Studio Art",3,"LAB",1735,"MoTuWeThFr 9:00AM - 12:00PM","East Annex 124",,"5/9/2011 - 5/27/2011"
"ART",460,"Topics in Studio Art",665,"LAB",3236,"TuTh 9:00AM - 5:00PM","Fred Hutchinson Center","Kerstin L Engman","7/5/2011 - 8/4/2011"
"ART",460,"Topics in Studio Art",667,"LAB",1004,"TuTh 9:00AM - 5:00PM","Fred Hutchinson Center","Kerstin L Engman","5/31/2011 - 6/30/2011"
"ART",497,"Independent Study in Studio Art",1,"IND",1851,"TBA","TBA","Staff","5/9/2011 - 8/19/2011"
"ART",570,"Intermedia Studio Critique I",1,"STU",1159,"TBA","TBA","Staff","TBA"
"AST",109,"Introduction to Astronomy",1,"LEC",1352,"MoTuWeTh 9:40AM - 11:10AM","Bennett Hall 137","David W Pearson","7/11/2011 - 8/19/2011"
"AST",109,"Introduction to Astronomy",990,"LEC",1064,"TBA","TBA","David J Batuski","5/23/2011 - 7/8/2011"
"AST",110,"Introduction to Astronomy Laboratory",1,"LAB",1353,"MoWe 12:10PM - 2:00PM","Bennett Hall 302","Nicholas Lewchanin Meek","7/11/2011 - 8/19/2011"
"AST",110,"Introduction to Astronomy Laboratory",990,"LAB",1065,"TBA","On-line Course","Staff","5/9/2011 - 8/19/2011"
"AST",497,"Topics in Astrophysics",1,"IND",1358,"TBA","TBA","Staff","TBA"
"AVS",249,"Laboratory and Companion Animal Science",990,"LEC",1109,"TBA","On-line Course","Robert C Causey","5/9/2011 - 8/19/2011"
"AVS",347,"Dairy Cattle Technology Laboratory",1,"LAB",1559,"TBA","TBA","David P Marcinkowski","5/9/2011 - 8/19/2011"
"AVS",368,"Independent Study in the Animal Sciences",1,"IND",1557,"TBA","TBA","Robert C Causey","5/9/2011 - 8/19/2011"
"AVS",368,"Independent Study in the Animal Sciences",3,"IND",1709,"TBA","TBA","Norinne H Daly","5/9/2011 - 8/19/2011"
"AVS",368,"Independent Study in the Animal Sciences",4,"IND",1710,"TBA","TBA","David P Marcinkowski","5/9/2011 - 8/19/2011"
"AVS",396,"Field Experience in Animal and Veterinary Science",1,"FEX",1558,"TBA","TBA","James Weber","5/9/2011 - 8/19/2011"
"AVS",397,"Equine Internship",1,"FEX",1633,"TBA","TBA","Robert C Causey","5/9/2011 - 8/19/2011"
"AVS",397,"Equine Internship",2,"FEX",1711,"TBA","TBA","Norinne H Daly","5/9/2011 - 8/19/2011"
"AVS",690,"Graduate Research in Animal Science",1,"IND",1560,"TBA","TBA","Martin R Stokes","5/9/2011 - 8/19/2011"
"AVS",699,"Graduate Thesis / Research",1,"THS",1561,"TBA","TBA","Robert C Bayer","5/9/2011 - 8/19/2011"
"BIO",100,"Basic Biology",1,"LEC",1320,"MoTuWeThFr 9:30AM - 11:00AM","Murray Hall 102","Charlene L Kozerow","5/31/2011 - 7/1/2011"
"BIO",100,"Basic Biology",1001,"LAB",1321,"TuTh 11:00AM - 1:00PM","Murray Hall 103","Charlene L Kozerow","5/31/2011 - 7/1/2011"
"BIO",100,"Basic Biology",1002,"LAB",1322,"TuTh 1:10PM - 3:10PM","Murray Hall 103","Charlene L Kozerow","5/31/2011 - 7/1/2011"
"BIO",208,"Anatomy and Physiology",1,"LEC",1324,"MoTuWeThFr 11:00AM - 12:30PM","Murray Hall 106","Lynn Ann Atkins","5/31/2011 - 7/1/2011"
"BIO",208,"Anatomy and Physiology",1001,"LAB",1325,"MoWe 1:10PM - 4:00PM","Murray Hall 304","Lynn Ann Atkins","6/1/2011 - 6/29/2011"
"BIO",450,"Histology",1,"LEC",1715,"MoTuWeThFr 9:15AM - 12:00PM","Murray Hall 214","Mary S Tyler","5/9/2011 - 5/27/2011"
"BIO",450,"Histology",1001,"LAB",1716,"MoTuWeThFr 1:10PM - 5:00PM","Murray Hall 214","Mary S Tyler","5/9/2011 - 5/27/2011"
"BIO",496,"Field Experience in Biological Sciences",1,"FEX",1836,"TBA","TBA","Staff","5/9/2011 - 8/19/2011"
"BIO",699,"Graduate Thesis / Research",1,"THS",1659,"TBA","TBA","Andrei Alyokhin","5/9/2011 - 8/19/2011"
"BIO",699,"Graduate Thesis / Research",2,"THS",1660,"TBA","TBA","Christopher Campbell","5/9/2011 - 8/19/2011"
"BIO",699,"Graduate Thesis / Research",3,"THS",1661,"TBA","TBA","Benildo G De Los Reyes","5/9/2011 - 8/19/2011"
"BIO",699,"Graduate Thesis / Research",4,"THS",1662,"TBA","TBA","Francis A Drummond","5/9/2011 - 8/19/2011"
"BIO",699,"Graduate Thesis / Research",5,"THS",1663,"TBA","TBA","Eleanor Groden","5/9/2011 - 8/19/2011"
"BIO",699,"Graduate Thesis / Research",6,"THS",1664,"TBA","TBA","Clarissa A Henry","5/9/2011 - 8/19/2011"
"BLE",497,"Special Problems in Biological Engineering",1,"IND",1284,"TBA","TBA","Darrell W Donahue","5/9/2011 - 8/19/2011"
"BLE",497,"Special Problems in Biological Engineering",2,"IND",1285,"TBA","TBA","John G Riley","5/9/2011 - 8/19/2011"
"BLE",599,"Independent Study in Biological Engineering",1,"IND",1281,"TBA","TBA","Staff","TBA"
"BLE",697,"Problems in Biological Engineering I",1,"IND",1286,"TBA","TBA","Darrell W Donahue","5/9/2011 - 8/19/2011"
"BLE",698,"Problems in Biological Engineering II",1,"IND",1287,"TBA","TBA","Darrell W Donahue","5/9/2011 - 8/19/2011"
"BLE",699,"Graduate Thesis / Research",1,"THS",1288,"TBA","TBA","Darrell W Donahue","5/9/2011 - 8/19/2011"
"BLE",699,"Graduate Thesis / Research",2,"THS",5107,"TBA","TBA","Michael D Mason","5/9/2011 - 8/19/2011"
"BLE",699,"Graduate Thesis / Research",3,"THS",5108,"TBA","TBA","Paul J Millard","5/9/2011 - 8/19/2011"
