department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
AME;302;"Social Movements";9000;LEC;13918;TBA;Web/On-line;Stephen Corral;09/04/2012 - 12/22/2012
AME;306;"American Fitness: Culture";0100;LEC;13735;We 4:00PM - 6:45PM;Jewett Hall 0291;Sarah Hentges;09/04/2012 - 12/22/2012
AME;306;"American Fitness: Culture";0200;LEC;12827;We 4:00PM - 6:45PM;Eastport Hall 0138;Sarah Hentges;09/04/2012 - 12/22/2012
ANT;102;"Cultural Anthropology";1000;LEC;9515;Th 1:00PM - 3:45PM;Bennett D. Katz Library 0016;Jon Arlin Schlenker;09/04/2012 - 12/22/2012
ANT;102;"Cultural Anthropology";1001;LEC;9516;Th 1:00PM - 3:45PM;Bangor Hall ITV1;Jon Arlin Schlenker;09/04/2012 - 12/22/2012
ANT;102;"Cultural Anthropology";1002;LEC;9517;Th 1:00PM - 3:45PM;Bath Brunswick;Jon Arlin Schlenker;09/04/2012 - 12/22/2012
ANT;102;"Cultural Anthropology";1003;LEC;9688;Th 1:00PM - 3:45PM;Bucksport HS;Jon Arlin Schlenker;09/04/2012 - 12/22/2012
ANT;102;"Cultural Anthropology";1004;LEC;9689;Th 1:00PM - 3:45PM;Caribou;Jon Arlin Schlenker;09/04/2012 - 12/22/2012
ANT;102;"Cultural Anthropology";1005;LEC;9690;Th 1:00PM - 3:45PM;Deer Isle;Jon Arlin Schlenker;09/04/2012 - 12/22/2012
ANT;170;"Introduction to Archaeology";0100;LEC;12797;Mo 9:00AM - 11:45AM;Jewett Hall 0185;Lucas Kellett;09/04/2012 - 12/22/2012
ANT;289;"Topics in Anthropology";6000;LEC;10139;Mo 7:00PM - 9:45PM;Bennett D. Katz Library 0007;Keith Ludden;09/04/2012 - 12/22/2012
ANT;289;"Topics in Anthropology";6001;LEC;10384;Mo 7:00PM - 9:45PM;Rockland Video Conferencing;Keith Ludden;09/04/2012 - 12/22/2012
ANT;289;"Topics in Anthropology";6002;LEC;12094;Mo 7:00PM - 9:45PM;BBC Video Conferencing;Keith Ludden;09/04/2012 - 12/22/2012
ANT;289;"Topics in Anthropology";6003;LEC;12095;Mo 7:00PM - 9:45PM;Ellsworth Video Conferencing;Keith Ludden;09/04/2012 - 12/22/2012
ANT;289;"Topics in Anthropology";6004;LEC;12096;Mo 7:00PM - 9:45PM;Western ME Comm Coll -VC;Keith Ludden;09/04/2012 - 12/22/2012
ARC;101;"Introduction to Architectural Graphics and Design Communication";0100;LEC;12137;MoTh 1:00PM - 4:00PM;Gannett Building;Amy Hinkley;09/04/2012 - 12/22/2012
ARC;101;"Introduction to Architectural Graphics and Design Communication";0101;LEC;12138;MoTh 1:00PM - 4:00PM;Gannett Building;Rosemary Ann Needham-Curtis;09/04/2012 - 12/22/2012
ARC;101;"Introduction to Architectural Graphics and Design Communication";0102;LEC;12139;MoTh 4:00PM - 7:00PM;Gannett Building;Staff;09/04/2012 - 12/22/2012
ARC;111;"History of Art And Architecture I";0100;LEC;13377;Fr 9:00AM - 11:45AM;Jewett Hall 0180;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARC;111;"History of Art And Architecture I";0300;LEC;13323;Tu 4:00PM - 6:45PM;Bath Brunswick;Susan B Stoddard;09/04/2012 - 12/22/2012
ARC;111;"History of Art And Architecture I";0301;LEC;13330;We 9:00AM - 11:45AM;Rockland;John D Farmer;09/04/2012 - 12/22/2012
ARC;111;"History of Art And Architecture I";1000;LEC;9521;Th 1:00PM - 3:45PM;Bennett D. Katz Library 0015;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARC;111;"History of Art And Architecture I";1001;LEC;9522;Th 1:00PM - 3:45PM;Bangor Hall ITV3;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARC;111;"History of Art And Architecture I";1002;LEC;9523;Th 1:00PM - 3:45PM;Bath Brunswick;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARC;203;"Architectural Design II";0100;LEC;12141;MoTh 9:00AM - 12:00PM;Gannett Building;Daelynn Elizabeth;09/04/2012 - 12/22/2012
ARC;203;"Architectural Design II";0101;LEC;12143;MoTh 9:00AM - 12:00PM;Gannett Building;Rosemary Ann Needham-Curtis;09/04/2012 - 12/22/2012
ARC;261;"Computer Aided Design (CAD)";0100;LEC;12148;Tu 1:00PM - 3:45PM;Randall Student Center 255;Daniel C Moreno;09/04/2012 - 12/22/2012
ARC;305;"Architectural Design IV";0100;LEC;12145;MoTh 9:00AM - 12:00PM;Gannett Building;Eric Stark;09/04/2012 - 12/22/2012
ARC;322;"Structures II";0100;LEC;12150;We 1:00PM - 3:45PM;Gannett Building;Robert J Sherman;09/04/2012 - 12/22/2012
ARC;332;"Construction Techniques";0100;LEC;12149;Tu 9:00AM - 11:45AM;Gannett Building;Morris Hancock;09/04/2012 - 12/22/2012
ARC;350;"Mechanical Systems in Architecture";0100;LEC;12151;We 9:00AM - 12:00PM;Gannett Building;Robert J Sherman;09/04/2012 - 12/22/2012
ARC;406;"Architecture Apprenticeship";0100;RSG;14290;TBA;TBA;Eric Stark;09/04/2012 - 12/22/2012
ARC;420;"Architectural Design VI";0100;LEC;12147;MoTh 9:00AM - 12:00PM;Gannett Building;Amy Hinkley;09/04/2012 - 12/22/2012
ARH;105;"History of Art and Architecture I";0100;LEC;12152;Fr 9:00AM - 11:45AM;Jewett Hall 0180;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARH;105;"History of Art and Architecture I";0300;LEC;12153;We 9:00AM - 11:45AM;Rockland;John D Farmer;09/04/2012 - 12/22/2012
ARH;105;"History of Art and Architecture I";0301;LEC;12154;Tu 4:00PM - 6:45PM;Bath Brunswick;Susan B Stoddard;09/04/2012 - 12/22/2012
ARH;105;"History of Art and Architecture I";1000;LEC;9518;Th 1:00PM - 3:45PM;Bennett D. Katz Library 0015;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARH;105;"History of Art and Architecture I";1001;LEC;9519;Th 1:00PM - 3:45PM;Bangor Hall ITV3;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARH;105;"History of Art and Architecture I";1002;LEC;9520;Th 1:00PM - 3:45PM;Bath Brunswick;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARH;205;"History of Photography I (1830 to 1930)";0100;LEC;12155;We 1:00PM - 3:45PM;Jewett Hall 0293;Susan B Stoddard;09/04/2012 - 12/22/2012
ARH;274;"Modern Art I";0100;LEC;12156;We 1:00PM - 3:45PM;Jewett Hall 0185;Brooks W Stoddard;09/04/2012 - 12/22/2012
ARH;494;"Independent Study in Art History";5000;IND;15002;TBA;TBA;Virginia C Goodlett;09/04/2012 - 12/22/2012
ART;100;"Introduction to Studio Art";0200;STU;12829;MoWe 1:00PM - 3:30PM;Eastport Hall 0139;Esther G Taylor;09/04/2012 - 12/22/2012
ART;100;"Introduction to Studio Art";0201;STU;12830;MoWe 4:00PM - 6:30PM;Eastport Hall 0139;Esther G Taylor;09/04/2012 - 12/22/2012
ART;100;"Introduction to Studio Art";0300;STU;12158;MoWe 4:00PM - 6:30PM;Rockland;Seth Lester;09/04/2012 - 12/22/2012
ART;100;"Introduction to Studio Art";0301;STU;12159;Fr 8:30AM - 12:00PM;Ellsworth;Cynthia June Kellogg;09/04/2012 - 12/22/2012;Fr 1:00PM - 2:30PM;Ellsworth;Cynthia June Kellogg;09/04/2012 - 12/22/2012
ART;100;"Introduction to Studio Art";9000;STU;14762;TBA;Web/On-line;Andrea M Martens;09/04/2012 - 12/22/2012
ART;109;"Photographic Vision and Digital Discovery";0100;STU;13357;MoWe 4:00PM - 6:30PM;Campus Center - Photo Studio;Robert P Darby;09/04/2012 - 12/22/2012
ART;109;"Photographic Vision and Digital Discovery";0300;STU;12894;MoWe 1:00PM - 3:30PM;Bath Brunswick;Dee Peppe;09/04/2012 - 12/22/2012
ART;109;"Photographic Vision and Digital Discovery";0301;STU;12936;TuTh 9:00AM - 11:30AM;Rockland;Dee Peppe;09/04/2012 - 12/22/2012
ART;112;"2";0101;STU;12165;Mo 1:00PM - 3:30PM;Randall Student Center 137;Susan C Bickford;09/04/2012 - 12/22/2012;We 1:00PM - 3:30PM;Gannett Building;Susan C Bickford;09/04/2012 - 12/22/2012
ART;112;"2";0102;STU;12166;Tu 4:00PM - 6:30PM;Randall Student Center 137;Susan C Bickford;09/04/2012 - 12/22/2012;Th 4:00PM - 6:30PM;Gannett Building;Susan C Bickford;09/04/2012 - 12/22/2012
ART;113;"3";0100;STU;12167;MoWe 9:00AM - 11:30AM;Fine Arts Building 0121;Robert I Katz;09/04/2012 - 12/22/2012
ART;115;"Drawing I";0100;STU;12206;MoWe 1:00PM - 3:30PM;Art &amp; Arch Building 0106;Peter R Precourt;09/04/2012 - 12/22/2012
ART;115;"Drawing I";0101;STU;12207;MoWe 6:45PM - 9:15PM;Art &amp; Arch Building 0106;Karen Adrienne;09/04/2012 - 12/22/2012
ART;115;"Drawing I";0102;STU;12208;TuTh 9:00AM - 11:30AM;Art &amp; Arch Building 0106;Robert I Katz;09/04/2012 - 12/22/2012
ART;140;"Intro to Digital Imaging";0100;STU;12209;MoWe 1:00PM - 3:30PM;Campus Center - Photo Studio;Luc A Demers;09/04/2012 - 12/22/2012
ART;143;"Color Photography I";100;STU;12210;MoWe 9:00AM - 11:30AM;Campus Center - Photo Studio;Luc A Demers;09/04/2012 - 12/22/2012
ART;202;"Electronic Arts I";0100;LEC;12211;TuTh 9:00AM - 11:30AM;Randall Student Center 137;Robert Rainey;09/04/2012 - 12/22/2012
ART;210;"Intaglio Printmaking";0100;STU;12212;MoWe 9:00AM - 11:30AM;Gannett Building;Karen Adrienne;09/04/2012 - 12/22/2012
ART;215;"Drawing II";0100;STU;12213;TuTh 1:00PM - 3:30PM;Art &amp; Arch Building 0106;Robert I Katz;09/04/2012 - 12/22/2012
ART;215;"Drawing II";0301;STU;13368;Th 9:00AM - 12:00PM;Rumford-Mexico Center;Staff;09/04/2012 - 12/22/2012;Th 1:00PM - 3:00PM;Rumford-Mexico Center;Patricia E Chandler;09/04/2012 - 12/22/2012
ART;232;"Photoshop I";0100;STU;12214;TuTh 4:00PM - 6:30PM;Campus Center - Photo Studio;Robert Rainey;09/04/2012 - 12/22/2012
ART;235;"Black &amp; White Photography I";0100;STU;12215;TuTh 1:00PM - 3:30PM;Campus Center - Photo Studio;Jere C Dewaters;09/04/2012 - 12/22/2012
ART;251;"Ceramics I: Introductory Hand";0100;STU;12216;TuTh 4:00PM - 6:30PM;Craft Shop;Brandon Lutterman;09/04/2012 - 12/22/2012
ART;289;"Topics in Art";0300;LEC;12218;Th 8:30AM - 12:00PM;Ellsworth;Cynthia June Kellogg;09/04/2012 - 12/22/2012;Th 1:00PM - 2:30PM;Ellsworth;Cynthia June Kellogg;09/04/2012 - 12/22/2012
ART;315;"Drawing III";0100;STU;12220;MoWe 4:00PM - 6:30PM;Art &amp; Arch Building 0106;Karen Adrienne;09/04/2012 - 12/22/2012
ART;319;"Sculpture II";0100;STU;12221;MoWe 6:45PM - 9:15PM;Fine Arts Building 0121;Robert I Katz;09/04/2012 - 12/22/2012
ART;320;"Contemporary Studio Practice and Theory";0100;LEC;12222;TuTh 1:00PM - 3:30PM;Randall Student Center 137;Robert Rainey;09/04/2012 - 12/22/2012
ART;321;"Painting II";0100;STU;12223;TuTh 9:00AM - 11:30AM;Gannett Building;Peter R Precourt;09/04/2012 - 12/22/2012
ART;333;"Photoshop II";0100;STU;12224;TuTh 4:00PM - 6:30PM;Campus Center - Photo Studio;Robert Rainey;09/04/2012 - 12/22/2012
ART;340;"Documentary Photography";0100;STU;12225;TuTh 9:00AM - 11:30AM;Campus Center - Photo Studio;Jere C Dewaters;09/04/2012 - 12/22/2012
ART;419;"Sculpture III";0100;STU;12226;MoWe 6:45PM - 9:15PM;Fine Arts Building 0121;Robert I Katz;09/04/2012 - 12/22/2012
ART;420;"Senior Seminar";0100;LEC;12227;Tu 4:00PM - 6:45PM;Art &amp; Arch Building 0106;Jere C Dewaters;09/04/2012 - 12/22/2012
ART;421;"Painting III";0100;STU;12228;TuTh 9:00AM - 11:30AM;Gannett Building;Peter R Precourt;09/04/2012 - 12/22/2012
ASL;101;"Introduction to American Sign Language I";0100;LEC;12236;We 1:30PM - 5:15PM;Jewett Hall 0289;Richard Terry;09/04/2012 - 12/22/2012
ASL;101;"Introduction to American Sign Language I";0101;LEC;12237;We 5:30PM - 9:15PM;Jewett Hall 0289;Lenore Boerner;09/04/2012 - 12/22/2012
ASL;101;"Introduction to American Sign Language I";0300;LEC;13366;Tu 6:00PM - 9:45PM;Rockland;Lenore Boerner;09/04/2012 - 12/22/2012
ASL;101;"Introduction to American Sign Language I";200;LEC;12832;Mo 5:00PM - 8:45PM;Eastport Hall 0100;Marlene R Carras;09/04/2012 - 12/22/2012
AUD;219;"Audio Recording";0100;LEC;12460;MoWe 7:00PM - 10:00PM;Bennett D. Katz Library 0040;William O Moseley;09/04/2012 - 12/22/2012
BIO;100;"Human Biology";0100;LEC;12661;We 9:00AM - 11:45AM;Jewett Hall 0295;Donna L Gronros;09/04/2012 - 12/22/2012
BIO;100;"Human Biology";0101;LAB;12662;We 1:00PM - 3:00PM;Jewett Hall 0299;Donna L Gronros;09/04/2012 - 12/22/2012
BIO;100;"Human Biology";0200;LEC;12869;MoWe 4:00PM - 5:20PM;Eastport Hall 0136;Constance C Holden;09/04/2012 - 12/22/2012
BIO;100;"Human Biology";0201;LAB;12870;Fr 9:30AM - 11:30AM;Camden Hall 0101;E Donald Naber;09/04/2012 - 12/22/2012
BIO;100;"Human Biology";0202;LEC;12871;MoWe 9:00AM - 10:20AM;Eastport Hall 0138;Natalia Abramova;09/04/2012 - 12/22/2012
BIO;100;"Human Biology";0203;LAB;12872;Th 9:30AM - 11:30AM;Camden Hall 0101;Natalia Abramova;09/04/2012 - 12/22/2012
BIO;104;"Introduction to Human Nutrition";9000;LEC;9352;TBA;Web/On-line;Sandra S Haggard;09/04/2012 - 12/22/2012
BIO;104;"Introduction to Human Nutrition";9001;LEC;9353;TBA;Web/On-line;Sandra S Haggard;09/04/2012 - 12/22/2012
BIO;104;"Introduction to Human Nutrition";9002;LEC;9354;TBA;Web/On-line;Tricia L VanKirk;09/04/2012 - 12/22/2012
BIO;104;"Introduction to Human Nutrition";9003;LEC;9355;TBA;Web/On-line;Judith A Hilton;09/04/2012 - 12/22/2012
BIO;110;"Introduction to Biology";0100;LEC;12663;Th 1:00PM - 3:45PM;Jewett Hall 0180;Christopher R Lage;09/04/2012 - 12/22/2012
BIO;110;"Introduction to Biology";0101;LEC;12664;Tu 1:00PM - 3:45PM;Jewett Hall 0180;Susan O Baker;09/04/2012 - 12/22/2012
BIO;110;"Introduction to Biology";0102;LAB;12665;Tu 1:00PM - 3:00PM;Jewett Hall 0299;Christopher R Lage;09/04/2012 - 12/22/2012
BIO;110;"Introduction to Biology";0103;LAB;12666;Tu 10:00AM - 12:00PM;Jewett Hall 0299;Christopher R Lage;09/04/2012 - 12/22/2012
BIO;110;"Introduction to Biology";0104;LAB;12667;Tu 4:00PM - 6:00PM;Jewett Hall 0299;Christopher R Lage;09/04/2012 - 12/22/2012
BIO;110;"Introduction to Biology";0200;LEC;12873;MoWe 9:00AM - 10:20AM;Camden Hall 0304;Robert T Klose;09/04/2012 - 12/22/2012
BIO;114E;"Principles of Evolution";9000;LEC;13290;TBA;Web/On-line;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;115;"Mammalian Anatomy &amp; Physiology I";0200;LEC;12876;MoWe 10:30AM - 11:50AM;Camden Hall 0304;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;115;"Mammalian Anatomy &amp; Physiology I";0201;LAB;12877;We 1:00PM - 3:00PM;Camden Hall 0101;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;115;"Mammalian Anatomy &amp; Physiology I";0202;LAB;12878;We 3:45PM - 5:45PM;Camden Hall 0101;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;210;"Anatomy and Physiology";0100;LEC;12668;Mo 1:00PM - 3:45PM;Jewett Hall 0180;Theodore Lane;09/04/2012 - 12/22/2012
BIO;210;"Anatomy and Physiology";0101;LAB;12669;Mo 10:00AM - 12:00PM;Jewett Hall 0299;Theodore Lane;09/04/2012 - 12/22/2012
BIO;210;"Anatomy and Physiology";0102;LAB;12670;Mo 4:00PM - 6:00PM;Jewett Hall 0299;Theodore Lane;09/04/2012 - 12/22/2012
BIO;210;"Anatomy and Physiology";0200;LEC;12879;TuTh 10:30AM - 11:50AM;Camden Hall 0304;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;210;"Anatomy and Physiology";0201;LAB;12880;Tu 1:30PM - 3:30PM;Camden Hall 0101;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;210;"Anatomy and Physiology";0202;LAB;12881;Th 1:00PM - 3:00PM;Camden Hall 0101;Anne F Hayes-Grillo;09/04/2012 - 12/22/2012
BIO;215;"Introduction to Human Genetics";9000;LEC;9356;TBA;Web/On-line;Natalia Abramova;09/04/2012 - 12/22/2012
BIO;220;"Marine Biology";0200;LEC;12882;TuTh 9:00AM - 10:20AM;Camden Hall 0304;Robert T Klose;09/04/2012 - 12/22/2012
BIO;265;"Veterinary Microbiology";0200;LEC;12883;TuTh 9:00AM - 10:20AM;Camden Hall 0304;E Donald Naber;09/04/2012 - 12/22/2012
BIO;265;"Veterinary Microbiology";0201;LAB;12884;TuTh 10:30AM - 12:00PM;Camden Hall 0105;E Donald Naber;09/04/2012 - 12/22/2012
BIO;265;"Veterinary Microbiology";0202;LAB;12885;TuTh 1:00PM - 2:30PM;Camden Hall 0105;E Donald Naber;09/04/2012 - 12/22/2012
BIO;320;"Principles of Genetics";0100;LEC;12675;Th 4:00PM - 6:45PM;Jewett Hall 0190;Christopher R Lage;09/04/2012 - 12/22/2012
BIO;321;"Microbiology";0100;LEC;12671;Fr 9:00AM - 11:45AM;Randall Student Center 138;Peter W Milligan;09/04/2012 - 12/22/2012
BIO;321;"Microbiology";0101;LAB;12672;We 9:00AM - 12:00PM;Jewett Hall 0297;Peter W Milligan;09/04/2012 - 12/22/2012
