department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;101S;"Introduction to Cultural Anthropology";0001;LEC;9165;TuTh 9:50AM - 11:30AM;Roberts 205;Gaelyn Aguilar;09/05/2012 - 12/14/2012
ANT;101S;"Introduction to Cultural Anthropology";0002;LEC;9186;TuTh 1:50PM - 3:30PM;Roberts 103;Nicole Kellett;09/05/2012 - 12/14/2012
ANT;103S;"Human Origins and Cultural Development";0001;LEC;9134;TuTh 8:00AM - 9:40AM;Roberts&nbsp; 305;Lucas Kellett;09/05/2012 - 12/14/2012
ANT;220S;"Peoples and Cultures of North America";0001;LEC;9153;MoWeFr 1:10PM - 2:15PM;Roberts 103;Jon T Oplinger;09/05/2012 - 12/14/2012
ANT;277S;"Special Topics in Anthropology";0001;LEC;9506;MoWe 3:40PM - 5:20PM;Merrill Hall 220;Gaelyn Aguilar;09/05/2012 - 12/14/2012
ANT;277S;"Special Topics in Anthropology";0002;LEC;9507;Th 1:50PM - 5:10PM;Merrill Hall 220;Gaelyn Aguilar;09/05/2012 - 12/14/2012
ANT;277S;"Special Topics in Anthropology";0003;LEC;9513;WeFr 1:20PM - 3:00PM;Ricker Hall Rm 116;Nicole Kellett;09/05/2012 - 12/14/2012
ARH;114A;"Visual Culture I";0001;LEC;9287;TuTh 12:00PM - 1:40PM;Roberts 023 - Auditorium;Sarah R Maline;09/05/2012 - 12/14/2012
ARH;274A;"Modern Art";0001;LEC;7781;We 6:15PM - 9:30PM;Merrill Hall 220;Sarah R Maline;09/05/2012 - 12/14/2012
ART;111A;"Poster Child";0001;LEC;9288;TuTh 3:30PM - 6:30PM;Merrill Hall 222;Dawn M Nye;09/05/2012 - 12/14/2012
ART;112A;"Digital Imaging";0001;STU;7782;MoWe 8:30AM - 11:30AM;Merrill Hall 222;Krisanne B Baker;09/05/2012 - 12/14/2012
