department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;100;"Introduction to Anthropology";0001;LEC;13024;MoTh 9:30AM - 10:50AM;Old Model School 103;Mariella R Squire;09/04/2012 - 12/21/2012
ANT;100;"Introduction to Anthropology";2001;LEC;13025;TBA;Online;Mariella R Squire;09/04/2012 - 12/21/2012
ANT;297;"Preceptorship in Human Science";0051;LEC;13033;Mo 6:30PM - 9:20PM;Cyr Hall 200;Staff;09/04/2012 - 12/21/2012
ANT;310;"Comparative World Religions";2001;LEC;13027;TBA;Online;Mariella R Squire;09/04/2012 - 12/21/2012
ART;100;"History of Art: Prehistoric to Renaissance";2001;LEC;11913;TBA;Online;Therese L Provenzano;09/04/2012 - 12/21/2012
ART;200;"Fundamentals of Art";0001;LEC;11863;We 8:20AM - 11:00AM;Cyr Hall 204, Art Room;Therese L Provenzano;09/04/2012 - 12/21/2012
ASP;;"50";0001;LEC;13738;MoTh 2:00PM - 3:20PM;Gymnasium 120;Aaron Tolbert;09/04/2012 - 12/21/2012
ASP;;"50";0002;LEC;13739;TuFr 2:00PM - 3:20PM;Cyr Hall 203;Aaron Tolbert;09/04/2012 - 12/21/2012
ASP;;"50";2001;LEC;13768;TBA;Online;Aaron Tolbert;09/04/2012 - 12/21/2012
ASP;;"60";0002;LEC;13740;TuFr 9:30AM - 10:50AM;Gymnasium 118;Aaron Tolbert;09/04/2012 - 12/21/2012
ASP;;"60";2001;LEC;13769;TBA;Online;Aaron Tolbert;09/04/2012 - 12/21/2012
ASP;;"70";0001;LEC;13742;MoWe 3:30PM - 4:50PM;Cyr Hall 201;Patricia L Richard;09/04/2012 - 12/21/2012
ASP;110;"Mathematics Applications";0001;LEC;13741;MoTh 1:00PM - 1:50PM;Cyr Hall 207;Angela T Theriault;09/04/2012 - 12/21/2012;We 1:00PM - 1:50PM;TBA;Angela T Theriault;09/04/2012 - 12/21/2012
ASP;110;"Mathematics Applications";0002;LEC;13743;MoTh 11:00AM - 11:50AM;Cyr Hall 203;Angela T Theriault;09/04/2012 - 12/21/2012;We 11:00AM - 11:50AM;Cyr Hall 207;Angela T Theriault;09/04/2012 - 12/21/2012
ASP;110;"Mathematics Applications";2001;LEC;13770;TBA;Online;Angela T Theriault;09/04/2012 - 12/21/2012
BIO;100;"General Biology";0001;LEC;13293;MoTh 9:30AM - 10:50AM;Cyr Hall 203;Kimberly M Borges-Therien;09/04/2012 - 12/21/2012
BIO;100L;"General Biology Lab";0001;LAB;13294;We 9:00AM - 11:40AM;Cyr Hall 209, Biology lab;Kimberly M Borges-Therien;09/04/2012 - 12/21/2012
BIO;130;"Introduction to Biotechnology";0001;LEC;13295;MoTh 12:30PM - 1:50PM;Cyr Hall 203;Kimberly M Borges-Therien;09/04/2012 - 12/21/2012
BIO;130L;"Intro to Biotechnology Lab";0001;LAB;14268;We 12:00PM - 1:50PM;Cyr Hall 206, Biology Lab;Kimberly M Borges-Therien;09/04/2012 - 12/21/2012
