department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ACC;201;"Financial Accounting";0001;LEC;7675;MoWeFr 9:00AM - 9:50AM;Torrey 104;Bernice M Murphy;09/05/2012 - 12/15/2012
ACC;201;"Financial Accounting";0002;LEC;7676;TBA;Web;Rhonda H French;09/05/2012 - 12/15/2012
ACC;202;"Managerial Accounting";0001;LEC;7677;TBA;Web;Patrick J McCarthy;09/05/2012 - 12/15/2012
ACC;301;"Intermediate Accounting I";0001;LEC;7678;TBA;Web;Patrick J McCarthy;09/05/2012 - 12/15/2012
AME;330;"Topics in American Studies";0001;LEC;11657;TuTh 11:00AM - 12:20PM;Torrey 232;Kay S Kimball;09/05/2012 - 12/15/2012
ANT;101;"Cultural Anthropology";0001;LEC;7700;MoWe 5:30PM - 6:50PM;Torrey 232;James H Moreira;09/05/2012 - 12/15/2012
ANT;101;"Cultural Anthropology";0003;LEC;14938;TBA;Web;Daniel Qualls;12/31/2012 - 01/18/2013
ANT;313;"Political Ecology";0001;LEC;8392;MoFr 9:30AM - 10:50AM;Torrey 226;Tora Johnson;09/05/2012 - 12/15/2012
ART;101;"2";0001;STU;7703;TuTh 9:30AM - 10:50AM;Powers&nbsp; 208;Leslie D Bowman;09/05/2012 - 12/15/2012
ART;101;"2";0002;STU;7707;Tu 5:30PM - 8:20PM;Powers&nbsp; 208;Judith R Valentine;09/05/2012 - 12/15/2012
ART;102;"Art Fundamentals:";0001;STU;7714;MoFr 12:30PM - 1:50PM;Torrey&nbsp; B1;William C Schaefer;09/05/2012 - 12/15/2012
ART;210;"Drawing I";0001;STU;8620;TuTh 11:00AM - 12:20PM;Powers&nbsp; 209;Bernie Vinzani;09/05/2012 - 12/15/2012
ART;216;"Book Arts I";0001;STU;8623;Mo 3:30PM - 6:20PM;Dorward 3;Bernie Vinzani;09/05/2012 - 12/15/2012
ART;219;"Photography";0001;STU;8627;MoWe 2:00PM - 3:20PM;Powers&nbsp; 208;Christian G Sunde;09/05/2012 - 12/15/2012
ART;310;"Drawing II";0001;STU;8621;TuTh 11:00AM - 12:20PM;Powers&nbsp; 209;Bernie Vinzani;09/05/2012 - 12/15/2012
ART;313;"Photography II";0001;STU;8628;MoWe 2:00PM - 3:20PM;Powers&nbsp; 208;Christian G Sunde;09/05/2012 - 12/15/2012
ART;326;"Book Arts II";0001;STU;8625;Mo 3:30PM - 6:20PM;Dorward 3;Bernie Vinzani;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0001;LEC;8629;Tu 4:00PM - 6:50PM;Torrey 104;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0002;LEC;8716;Fr 4:00PM - 6:45PM;Torrey 103;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0003;LEC;13397;Fr 4:00PM - 6:50PM;Bangor Hall 0100 - UCB;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0004;LEC;13398;Fr 4:00PM - 6:50PM;Bath/Brunswick Center;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0005;LEC;13399;Fr 4:00PM - 6:50PM;Ellsworth Center;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0006;LEC;13400;Fr 4:00PM - 6:50PM;East Millinocket Center;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0007;LEC;13401;Fr 4:00PM - 6:50PM;Houlton Center;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0008;LEC;13402;Fr 4:00PM - 6:50PM;Augusta - UMA Campus;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0009;LEC;13403;Fr 4:00PM - 6:50PM;Fort Kent Campus;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0010;LEC;13404;Fr 4:00PM - 6:50PM;Dover-Foxcroft;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0011;LEC;13405;Fr 4:00PM - 6:50PM;Presque Isle Campus;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0012;LEC;13406;Fr 4:00PM - 6:50PM;Rockland Center;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0013;LEC;13407;Fr 4:00PM - 6:50PM;Rumford/Mexico Center;Barbara K Koch;09/05/2012 - 12/15/2012
ASL;101;"Intro to Sign Language";0014;LEC;13408;Fr 4:00PM - 6:50PM;Saco Center;Barbara K Koch;09/05/2012 - 12/15/2012
BIO;100;"Explorations in Biology";0001;LEC;8393;MoWe 3:00PM - 4:50PM;Science&nbsp; 120;Gerard P Zegers;09/05/2012 - 12/15/2012
