department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
AED;371;"Methods and Materials in Art Education";0001;LEC;1011;WeFr 2:10PM - 3:25PM;Lord Hall 202;Constant K Albertson;09/04/2012 - 12/14/2012;WeFr 2:10PM - 3:25PM;Lord Hall 205;Constant K Albertson;09/04/2012 - 12/14/2012
AED;372;"Foundations of Art Education";0001;LEC;1012;WeFr 12:30PM - 1:45PM;Lord Hall 205;Laurie E Hicks;09/04/2012 - 12/14/2012;WeFr 12:30PM - 1:45PM;Lord Hall 200;Laurie E Hicks;09/04/2012 - 12/14/2012
AED;373;"Introduction to Curriculum";0001;LEC;1013;WeFr 4:10PM - 5:25PM;Lord Hall 202;Constant K Albertson;09/04/2012 - 12/14/2012;Fr 4:10PM - 5:25PM;Lord Hall 205;Constant K Albertson;09/04/2012 - 12/14/2012;Fr 4:10PM - 5:25PM;Lord Hall 300;Constant K Albertson;09/04/2012 - 12/14/2012;Fr 4:10PM - 5:25PM;Lord Hall 305;Constant K Albertson;09/04/2012 - 12/14/2012
AED;496;"Field Experience in Art Education";0001;FEX;1014;TBA;TBA;Constant K Albertson;09/04/2012 - 12/14/2012
AED;497;"Independent Study in Art Education";0001;IND;1015;TBA;TBA;Laurie E Hicks;09/04/2012 - 12/14/2012
AED;497;"Independent Study in Art Education";0002;IND;1016;TBA;TBA;Constant K Albertson;09/04/2012 - 12/14/2012
AED;498;"Directed Study in Art Education";0001;IND;1017;TBA;TBA;Laurie E Hicks;09/04/2012 - 12/14/2012
AED;498;"Directed Study in Art Education";0002;IND;1018;TBA;TBA;Constant K Albertson;09/04/2012 - 12/14/2012
AED;597;"Independent Study in Art Education";0001;IND;1019;TBA;TBA;Laurie E Hicks;09/04/2012 - 12/14/2012
AED;597;"Independent Study in Art Education";0002;IND;1020;TBA;TBA;Constant K Albertson;09/04/2012 - 12/14/2012
AED;597;"Independent Study in Art Education";0860;IND;13997;TBA;TBA;Laurie E Hicks;09/04/2012 - 12/14/2012
AED;598;"Directed Study in Art Education";0001;IND;1021;TBA;TBA;Laurie E Hicks;09/04/2012 - 12/14/2012
AED;598;"Directed Study in Art Education";0002;IND;2704;TBA;TBA;Constant K Albertson;09/04/2012 - 12/14/2012
ANT;101;"Introduction to Anthropology: Human Origins and Prehistory";0001;LEC;1022;MoWeFr 10:00AM - 10:50AM;Neville Hall 101;Gregory D Zaro;09/04/2012 - 12/14/2012
ANT;101;"Introduction to Anthropology: Human Origins and Prehistory";0002;LEC;1023;MoWeFr 11:00AM - 11:50AM;Neville Hall 101;Gregory D Zaro;09/04/2012 - 12/14/2012
ANT;120;"Religions of the World";0990;LEC;4174;TBA;On-line Course;Henry L Munson;09/04/2012 - 12/14/2012
ANT;140;"Cities of the Ancient World";0990;LEC;7641;TBA;On-line Course;Gregory D Zaro;09/04/2012 - 12/14/2012
ANT;221;"Introduction to Folklore";0669;LEC;7328;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;09/05/2012 - 09/05/2012;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;12/12/2012 - 12/12/2012;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;11/28/2012 - 11/28/2012;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;11/14/2012 - 11/14/2012;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;10/17/2012 - 10/17/2012;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;10/03/2012 - 10/03/2012;We 4:10PM - 6:40PM;Fred Hutchinson Center;Karen Miller;09/19/2012 - 09/19/2012
ANT;221;"Introduction to Folklore";0869;LEC;7327;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;09/05/2012 - 09/05/2012;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;09/19/2012 - 09/19/2012;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;10/03/2012 - 10/03/2012;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;10/17/2012 - 10/17/2012;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;11/14/2012 - 11/14/2012;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;11/28/2012 - 11/28/2012;We 4:10PM - 6:40PM;Donald P Corbett Business 105;Karen Miller;12/12/2012 - 12/12/2012
ANT;256;"Ethnic Conflict";0990;LEC;7325;TBA;On-line Course;Henry L Munson;09/04/2012 - 12/14/2012
ANT;270;"Environmental Justice Movements in the United States";0001;LEC;3098;MoWeFr 12:10PM - 1:00PM;Jenness Hall 108;Darren J Ranco;09/04/2012 - 12/14/2012
ANT;300;"Basic Theory in Cultural Anthropology";0001;LEC;1024;Mo 3:10PM - 5:40PM;Stevens Hall South 104A;Veronica C Ocampo-Raeder;09/04/2012 - 12/14/2012
ANT;414;"Ethics in Archaeology";0001;LEC;9118;MoWeFr 2:10PM - 3:00PM;Stevens Hall South 232A;Catherine West;09/04/2012 - 12/14/2012
ANT;422;"Folklore of Maine and The Maritime Provinces";0669;LEC;7335;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;09/06/2012 - 09/06/2012;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;12/13/2012 - 12/13/2012;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;11/29/2012 - 11/29/2012;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;11/15/2012 - 11/15/2012;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;10/18/2012 - 10/18/2012;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;10/04/2012 - 10/04/2012;Th 4:00PM - 6:30PM;Fred Hutchinson Center;Pauleena M Macdougall;09/20/2012 - 09/20/2012
