department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;100;"Introduction to Anthropology";0001;LEC;8599;TuTh 2:00PM - 3:15PM;Folsom Hall 105;David E Putnam;09/04/2012 - 12/20/2012
ANT;110;"World Religions";0001;LEC;8601;TBA;ONLINE;Patricia Lynn Eldershaw;09/04/2012 - 12/20/2012
ART;101;"Basic Design";0001;STU;8916;MoWe 2:00PM - 3:50PM;Pullen Hall 311;Heather Sincavage;09/04/2012 - 12/20/2012
ART;103;"Drawing I";0001;STU;8918;TuTh 2:00PM - 3:50PM;Pullen Hall 311;Heather Sincavage;09/04/2012 - 12/20/2012
ART;103;"Drawing I";0002;STU;9264;Tu 4:00PM - 7:50PM;Houlton Center;Cheryl Ann Kittredge;09/04/2012 - 12/20/2012
ART;107;"Experience of the Arts";0001;LEC;8919;TBA;ONLINE;Hyrum Benson;09/04/2012 - 12/20/2012
ART;107;"Experience of the Arts";0002;LEC;8920;Tu 1:00PM - 3:45PM;Houlton Center;Cheryl Ann Kittredge;09/04/2012 - 12/20/2012
ART;107;"Experience of the Arts";0003;LEC;8921;TuTh 3:30PM - 4:45PM;Pullen Hall 210;Hume Anderson Giles;09/04/2012 - 12/20/2012
ART;107;"Experience of the Arts";0004;LEC;8922;TuTh 9:30AM - 10:45AM;Pullen Hall 210;Heather Sincavage;09/04/2012 - 12/20/2012
ART;107;"Experience of the Arts";0005;LEC;8923;TBA;ONLINE;Joseph B Zubrick;09/04/2012 - 12/20/2012
ART;107;"Experience of the Arts";0006;LEC;14735;TBA;ONLINE;Hyrum Benson;10/15/2012 - 11/30/2012
ART;116;"Introduction to Film";0001;LEC;8924;TBA;ONLINE;E Clifton Boudman;09/04/2012 - 12/20/2012
ART;211;"Art History I";0001;LEC;8926;TBA;ONLINE;E Clifton Boudman;09/04/2012 - 12/20/2012
ART;231;"Computer Art I";0001;STU;8927;TuTh 3:30PM - 5:15PM;Folsom Hall 101B;Hyrum Benson;09/04/2012 - 12/20/2012
ART;242;"Ceramics I";0001;STU;8928;MoWe 2:00PM - 3:50PM;Wieden Hall STUDI;Hyrum Benson;09/04/2012 - 12/20/2012
ART;261;"Painting I";0001;STU;8929;MoWe 9:00AM - 10:45AM;Pullen Hall 311;Hume Anderson Giles;09/04/2012 - 12/20/2012
ART;285;"Watercolor";0001;STU;8930;TuTh 11:00AM - 12:50PM;Pullen Hall 311;Hume Anderson Giles;09/04/2012 - 12/20/2012
ART;311;"Modern Art History";0001;LEC;14289;TBA;ONLINE;E Clifton Boudman;09/04/2012 - 12/20/2012
ART;342;"Ceramics II";0001;STU;8931;Tu 6:00PM - 9:30PM;Wieden Hall STUDI;Hyrum Benson;09/04/2012 - 12/20/2012
ART;386;"Special Topics in Art";0001;LEC;8933;MoWe 11:00AM - 12:50PM;Pullen Hall 311;Heather Sincavage;09/04/2012 - 12/20/2012
ART;451;"Photography III";0001;STU;8934;Mo 6:00PM - 8:30PM;Pullen Hall 311;Hume Anderson Giles;09/04/2012 - 12/20/2012
ART;499;"Senior Art Project";0001;STU;8935;Fr 12:00PM - 3:00PM;Pullen Hall 311;Hyrum Benson;09/04/2012 - 12/20/2012
ASL;101;"American Sign Language I";0001;LEC;8602;Tu 5:00PM - 7:45PM;Normal 104A;Polly J Earl;09/04/2012 - 12/20/2012
BIO;112;"General Biology I";0001;LEC;8603;We 2:00PM - 4:45PM;Houlton Center;Joan E Barton;09/04/2012 - 12/20/2012
BIO;112;"General Biology I";0002;LAB;8604;Mo 4:00PM - 6:45PM;Houlton Center;Joan E Barton;09/04/2012 - 12/20/2012
BIO;112;"General Biology I";0003;LEC;8605;MoWeFr 8:00AM - 8:50AM;Folsom Hall 303;Robert J Pinette;09/04/2012 - 12/20/2012
BIO;112;"General Biology I";0004;LAB;8606;Tu 2:00PM - 4:45PM;Folsom Hall 304;Robert J Pinette;09/04/2012 - 12/20/2012
BIO;112;"General Biology I";0005;LAB;8607;Th 2:00PM - 4:45PM;Folsom Hall 304;Judith Ladd Roe;09/04/2012 - 12/20/2012
BIO;112;"General Biology I";0006;LEC;8608;MoWeFr 10:00AM - 10:50AM;Folsom Hall 303;Judith Ladd Roe;09/04/2012 - 12/20/2012
BIO;186;"Special Topics in Biology";0001;LEC;14204;TBA;ONLINE;Krista M Delahunty;09/04/2012 - 12/20/2012
BIO;260;"Principles of Human Anatomy &amp; Physiology";0001;LEC;8611;MoWeFr 8:00AM - 8:50AM;Folsom Hall 203;Scott Dobrin;09/04/2012 - 12/20/2012
BIO;260;"Principles of Human Anatomy &amp; Physiology";0002;LAB;8612;Mo 3:30PM - 6:15PM;Folsom Hall 301;Scott Dobrin;09/04/2012 - 12/20/2012
BIO;261;"Human Anatomy and Physiology I";0001;LEC;8613;MoWeFr 10:00AM - 10:50AM;Folsom Hall 105;Scott Dobrin;09/04/2012 - 12/20/2012
BIO;261;"Human Anatomy and Physiology I";0002;LAB;8614;We 12:30PM - 2:30PM;Folsom Hall 301;Staff;09/04/2012 - 12/20/2012
BIO;261;"Human Anatomy and Physiology I";0003;LAB;8615;Th 12:30PM - 2:30PM;Folsom Hall 301;Staff;09/04/2012 - 12/20/2012
BIO;261;"Human Anatomy and Physiology I";0004;LAB;14727;Tu 12:30PM - 2:30PM;Folsom Hall 301;Staff;09/04/2012 - 12/20/2012
BIO;300;"Human Nutrition";0001;LEC;8616;TuTh 11:00AM - 12:15PM;Folsom Hall 303;Rachael Hannah;09/04/2012 - 12/20/2012
BIO;350;"Genetics";0001;LEC;8617;MoWe 12:30PM - 3:15PM;Folsom Hall 305;Judith Ladd Roe;09/04/2012 - 12/20/2012
BIO;430;"Molds And Mushrooms";0001;LEC;8812;MoWeFr 10:00AM - 10:50AM;Folsom Hall 304;Robert J Pinette;09/04/2012 - 12/20/2012
BIO;430;"Molds And Mushrooms";0002;LAB;8618;Th 2:00PM - 4:45PM;Folsom Hall 305;Robert J Pinette;09/04/2012 - 12/20/2012
BUS;101;"Introduction to Business";0001;LEC;9451;TuTh 8:00AM - 9:15AM;Folsom Hall 204;Stacey Lynn Emery;09/04/2012 - 12/20/2012
BUS;101;"Introduction to Business";0002;LEC;14951;TuTh 8:00AM - 9:15AM;Folsom Hall 205;Bryan Scott Thompson;09/04/2012 - 12/20/2012
BUS;125;"Intro to Business Computing";0001;LEC;9452;TuTh 11:00AM - 12:15PM;Folsom Hall 101A;Travis Durepo;09/04/2012 - 12/20/2012
BUS;125;"Intro to Business Computing";0002;LEC;14208;Mo 5:30PM - 8:15PM;Houlton Center;Marc E Gendron;09/04/2012 - 12/20/2012
BUS;150;"Introduction to Financial Accounting";0001;LEC;9454;MoWe 11:00AM - 12:15PM;Folsom Hall 206;Stephen Weld Merrill;09/04/2012 - 12/20/2012
BUS;186;"Special Topics in Business";0001;LEC;14218;MoWe 11:00AM - 12:15PM;Pullen Hall 213;Bryan Scott Thompson;09/04/2012 - 12/20/2012
BUS;200;"Intermediate Business Computing";0001;LEC;9453;TuTh 11:00AM - 12:15PM;Folsom Hall 101B;Carolyn Dorsey Durepo;09/04/2012 - 12/20/2012
BUS;244;"Management Information System";0001;LEC;9455;TuTh 11:00AM - 12:15PM;Pullen Hall 215;Bryan Scott Thompson;09/04/2012 - 12/20/2012
BUS;246;"Intro to Web Page Design";0001;LEC;9456;TuTh 2:00PM - 3:15PM;Folsom Hall 101A;Joshua David Cheney;09/04/2012 - 12/20/2012
BUS;301;"Information Systems and Accounting";0001;LEC;9457;MoWe 11:00AM - 12:15PM;Folsom Hall 101A;Stacey Lynn Emery;09/04/2012 - 12/20/2012
BUS;320;"Process of Management";0001;LEC;13327;TuTh 3:30PM - 4:45PM;Normal 104A;Robert L Murray;09/04/2012 - 12/20/2012
BUS;320;"Process of Management";0002;LEC;13329;TuTh 3:30PM - 4:45PM;Houlton Center;Robert L Murray;09/04/2012 - 12/20/2012
BUS;330;"Marketing Management";0001;LEC;9458;We 3:30PM - 6:15PM;Folsom Hall 205;Carolyn Dorsey Durepo;09/04/2012 - 12/20/2012
BUS;345;"Database Management";0001;LEC;9459;We 5:00PM - 7:45PM;Folsom Hall 101A;Michael G Dugal;09/04/2012 - 12/20/2012
BUS;350;"Business Law I";0001;LEC;9460;TuTh 8:00AM - 9:15AM;Folsom Hall 206;Clare Exner;09/04/2012 - 12/20/2012
BUS;353;"Legal and Ethical Issues in Business";0001;LEC;9461;TuTh 2:00PM - 3:15PM;Folsom Hall 206;Clare Exner;09/04/2012 - 12/20/2012
BUS;361;"Intermediate Accounting I";0001;LEC;9462;MoWe 12:30PM - 1:45PM;Pullen Hall 212;Stephen Weld Merrill;09/04/2012 - 12/20/2012
BUS;376;"Independent Auditing";0001;LEC;14220;MoWe 2:00PM - 3:15PM;Pullen Hall 213;Stacey Lynn Emery;09/04/2012 - 12/20/2012
BUS;377;"Federal Taxation";0001;LEC;9463;TuTh 9:30AM - 10:45AM;Folsom Hall 206;Stacey Lynn Emery;09/04/2012 - 12/20/2012
BUS;410;"Topics in Business Management";0001;LEC;13325;TBA;ONLINE;Robert L Murray;09/04/2012 - 12/20/2012
BUS;415;"Operations Management";0001;LEC;9464;MoWe 2:00PM - 3:15PM;Folsom Hall 206;Bryan Scott Thompson;09/04/2012 - 12/20/2012
BUS;495;"Business Internship";0001;FEX;9465;TBA;UMPI Arranged Space;Carolyn Dorsey Durepo;09/04/2012 - 12/20/2012
CHI;101;"Introductory Chinese I";0001;LEC;8619;TuTh 4:00PM - 5:30PM;MSSM - Limestone;Zhu-Qi Lu;09/04/2012 - 12/20/2012
CHY;111;"General Chemistry I";0001;LEC;8622;MoWeFr 9:00AM - 9:50AM;Folsom Hall 105;Michael A Knopp;09/04/2012 - 12/20/2012
CHY;111;"General Chemistry I";0002;LAB;8813;Mo 2:00PM - 4:45PM;Folsom Hall 202;Michael A Knopp;09/04/2012 - 12/20/2012
CHY;111;"General Chemistry I";0003;LAB;8814;Tu 2:00PM - 4:45PM;Folsom Hall 202;Rachael Hannah;09/04/2012 - 12/20/2012
CHY;111;"General Chemistry I";0004;LAB;8815;Th 2:00PM - 4:45PM;Folsom Hall 202;Michael A Knopp;09/04/2012 - 12/20/2012
CHY;111;"General Chemistry I";0005;LEC;14952;MoWeFr 10:00AM - 10:50AM;Folsom Hall 203;Michael A Knopp;09/04/2012 - 12/20/2012
CHY;111;"General Chemistry I";0006;LAB;14953;We 2:00PM - 4:45PM;Folsom Hall 202;Catherine A Chase;09/04/2012 - 12/20/2012
ECO;100;"Contemporary Economics";0001;LEC;9466;TBA;ONLINE;Robert L Murray;09/04/2012 - 12/20/2012
ECO;207;"Macro &amp; Micro Economics";0001;LEC;9467;MoWe 3:30PM - 4:45PM;Folsom Hall 203;Robert L Murray;09/04/2012 - 12/20/2012
EDU;150;"Exploring Edu in Contemp Amer";0001;LEC;13301;TBA;ONLINE;Zhijun Wu;09/04/2012 - 12/20/2012
EDU;150;"Exploring Edu in Contemp Amer";0002;LEC;13302;MoWe 12:30PM - 1:45PM;Folsom Hall 303;Tomasz Z Herzog;09/04/2012 - 12/20/2012
EDU;150;"Exploring Edu in Contemp Amer";0003;LEC;13303;Th 4:00PM - 6:45PM;Folsom Hall 303;Tomasz Z Herzog;09/04/2012 - 12/20/2012
EDU;200;"Learner &amp; Learning Process";0001;LEC;13304;TBA;ONLINE;Zhijun Wu;09/04/2012 - 12/20/2012
EDU;200;"Learner &amp; Learning Process";0002;LEC;13305;MoWe 11:00AM - 12:15PM;Normal 104A;Zhijun Wu;09/04/2012 - 12/20/2012
EDU;261;"Educational Computing";0001;LEC;13306;TBA;ONLINE;Jing Qi;09/04/2012 - 12/20/2012
EDU;261;"Educational Computing";0002;LEC;13307;TuTh 9:30AM - 10:45AM;Folsom Hall 101A;Terry J Chalou;09/04/2012 - 12/20/2012
EDU;310;"The Teaching Process";0001;LEC;13309;MoWe 8:00AM - 9:15AM;Pullen Hall 212;Wendy L Ross;09/04/2012 - 12/20/2012
EDU;351;"Teaching Elementary Reading";0001;LEC;13310;MoWe 3:30PM - 4:45PM;Normal 106;Barbara Smith Chalou;09/04/2012 - 12/20/2012
EDU;351;"Teaching Elementary Reading";0002;LEC;13311;TBA;ONLINE;Elaine M Boulier;09/04/2012 - 12/20/2012
EDU;351;"Teaching Elementary Reading";0003;LEC;14777;TBA;ONLINE;Barbara Smith Chalou;09/04/2012 - 10/12/2012
EDU;357;"Children's Literature";0001;LEC;13312;TuTh 9:30AM - 10:45AM;Normal 104A;Barbara Smith Chalou;09/04/2012 - 12/20/2012
EDU;357;"Children's Literature";0002;LEC;14778;TBA;ONLINE;Barbara Smith Chalou;09/04/2012 - 10/12/2012
EDU;359;"Teaching of French (K";0001;LEC;13771;TBA;ONLINE;Claire Davidshofer;09/04/2012 - 12/20/2012
EDU;361;"Teach Science in Elem School";0001;LEC;13313;TBA;ONLINE;Tanya Rae Belanger;09/04/2012 - 12/20/2012
EDU;366;"Teach Math in Elem School";0001;LEC;13335;TBA;ONLINE;Zhijun Wu;09/04/2012 - 12/20/2012
EDU;366;"Teach Math in Elem School";0002;LEC;13984;We 5:00PM - 7:45PM;Houlton Center;Gloria Powers;09/04/2012 - 12/20/2012
EDU;371;"Teach Social Studies in Elemen";0001;LEC;13314;MoWe 11:00AM - 12:15PM;Folsom Hall 203;Tomasz Z Herzog;09/04/2012 - 12/20/2012
EDU;375;"Wabanaki Education";0001;LEC;14450;We 4:00PM - 6:45PM;Houlton Center;David G Perley;09/04/2012 - 12/20/2012
EDU;377;"Guiding Positive Behavior";0001;LEC;13316;MoWe 2:00PM - 3:15PM;Folsom Hall 105;William A Breton;09/04/2012 - 12/20/2012
EDU;386;"Special Topics in Education";0001;LEC;14914;We 5:00PM - 7:45PM;Normal 106;Staff;09/04/2012 - 12/20/2012
EDU;387;"Teaching Students with Special Needs in Inclusive Classrooms";0001;LEC;13317;TBA;ONLINE;William A Breton;09/04/2012 - 12/20/2012
EDU;387;"Teaching Students with Special Needs in Inclusive Classrooms";0002;LEC;13318;TBA;ONLINE;William A Breton;09/04/2012 - 12/20/2012
