department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ABU;190;"Spreadsheet &amp; Problem Solving";0001;LEC;6239;MoWe 2:45PM - 4:00PM;Payson Smith 42 - P;Thomas B MacDonald;09/04/2012 - 12/21/2012
ABU;190;"Spreadsheet &amp; Problem Solving";0002;LEC;8951;TBA;Blended Course (See Notes);Thomas B MacDonald;09/04/2012 - 12/21/2012;Mo 5:30PM - 8:00PM;Payson Smith 44 - P;Thomas B MacDonald;09/10/2012 - 12/17/2012
ABU;190;"Spreadsheet &amp; Problem Solving";0003;LEC;6240;TuTh 1:15PM - 2:30PM;Payson Smith 202 - P;Thomas B MacDonald;09/04/2012 - 12/21/2012
ABU;190;"Spreadsheet &amp; Problem Solving";0004;LEC;6241;TuTh 2:45PM - 4:00PM;Payson Smith 202 - P;Thomas B MacDonald;09/04/2012 - 12/21/2012
ABU;190;"Spreadsheet &amp; Problem Solving";0005;LEC;6242;TBA;Blended Course (See Notes);Thomas B MacDonald;09/04/2012 - 12/21/2012;We 4:30PM - 6:45PM;Payson Smith 301A - P;Thomas B MacDonald;09/04/2012 - 12/21/2012
ACC;110;"Financial Accounting Information for Decision Making";0001;LEC;4381;TuTh 8:45AM - 10:00AM;Luther Bonney 410 - P;John Sanders;09/04/2012 - 12/21/2012
ACC;110;"Financial Accounting Information for Decision Making";0004;LEC;4382;MoWe 8:45AM - 10:00AM;Luther Bonney 510 - P;George R Violette;09/04/2012 - 12/21/2012
ACC;110;"Financial Accounting Information for Decision Making";0005;LEC;4383;Mo 7:00PM - 9:30PM;Luther Bonney 410 - P;William Joseph Mann;09/04/2012 - 12/21/2012
ACC;110;"Financial Accounting Information for Decision Making";0006;LEC;6744;We 4:10PM - 6:40PM;Luther Bonney 502 - P;Pamela M E Guiles;09/04/2012 - 12/21/2012
ACC;110;"Financial Accounting Information for Decision Making";0007;LEC;6095;TuTh 10:15AM - 11:30AM;Luther Bonney 410 - P;John Sanders;09/04/2012 - 12/21/2012
ACC;110;"Financial Accounting Information for Decision Making";0008;LEC;6173;TBA;Online Class;Jean E Gutmann;09/04/2012 - 12/21/2012
ACC;211;"Managerial Accounting Information for Decision Making";0002;LEC;4384;TuTh 7:00PM - 8:15PM;Payson Smith 44 - P;Charlotte A Pryor;09/04/2012 - 12/21/2012
ACC;211;"Managerial Accounting Information for Decision Making";0003;LEC;4385;TuTh 1:15PM - 2:30PM;Payson Smith 44 - P;Charlotte A Pryor;09/04/2012 - 12/21/2012
ACC;211;"Managerial Accounting Information for Decision Making";0005;LEC;4386;MoWe 11:45AM - 1:00PM;Luther Bonney 523 - P;Jeffrey F Shields;09/04/2012 - 12/21/2012
ACC;221;"The Financial Accounting Cycle";0001;LEC;6284;Mo 7:00PM - 9:00PM;Luther Bonney 241 - P;Pamela M E Guiles;09/04/2012 - 11/19/2012
ACC;301;"Financial Reporting I";0001;LEC;4387;MoWe 1:15PM - 2:30PM;Payson Smith 205 - P;Jeffrey D Gramlich;09/04/2012 - 12/21/2012
ACC;301;"Financial Reporting I";0002;LEC;4388;MoWe 7:00PM - 8:15PM;Payson Smith 205 - P;Jeffrey D Gramlich;09/04/2012 - 12/21/2012
ACC;302;"Financial Reporting II";0001;LEC;6928;We 4:10PM - 6:40PM;Luther Bonney 410 - P;John Sanders;09/04/2012 - 12/21/2012
ACC;395;"Internship I";0001;RSG;6356;TBA;TBA;George R Violette;09/04/2012 - 12/21/2012
ACC;395;"Internship I";0002;RSG;6651;TBA;TBA;John Sanders;09/04/2012 - 12/21/2012
