"Aquaculture Research Building",44.898251,-68.665184
"Armory",44.903784,-68.669114
"Aubert Hall",44.901292,-68.670333
"Barrows Hall",44.902517,-68.667400
"Bennett Hall",44.902912,-68.668814
"Boardman Hall",44.902193,-68.669113
"Bryand Global Science Cen",44.894813,-68.667480
"Carnegie Hall",44.898009,-68.671223
"Chadbourne Hall",44.896336,-68.672364
"Class of 1944 Hall",44.899457,-68.667000
"Colvin Hall",44.897072,-68.669626
"Corbett Hall",44.902857,-68.671091
"Deering Hall",44.896681,-68.668633
"Donald P Corbett Business",44.900732,-68.666446
"Dunn Hall",44.902768,-68.671857
"East Annex",44.901134,-68.667201
"Engineering Science Rsch Bldg",44.894818,-68.667394
"Fernald Hall",44.900382,-68.671331
"Franco American Centre",44.903261,-68.672892
"Hannibal Hamlin Hall",44.902040,-68.671739
"Hauck Auditorium",44.899625,-68.667452
"Hitchner Hall",44.897828,-68.667608
"Jenness Hall",44.902137,-68.665398
"Lengyel Hall",44.895350,-68.672297
"Lengyel Hall GYM",44.895358,-68.672512
"Little Hall",44.901408,-68.669014
"Lord Hall",44.900693,-68.670537
"Machine Tool Laboratory",44.902114,-68.668327
"Maine Bound Adventure Center",44.898740,-68.666461
"Memorial Gymnasium FH",44.903662,-68.670516
"Memorial Gymnasium GYM",44.903767,-68.669805
"Memorial Gymnasium POOL",44.903622,-68.670504
"Memorial Union",44.899219,-68.668134
"Merrill Hall",44.897593,-68.669615
"Murray Hall",44.900709,-68.665581
"Neville Hall",44.901879,-68.666697
"Nutting Hall",44.896833,-68.667254
"Pavilion Theatre",44.898459,-68.669497
"Perkins Hall Laboratory",44.898026,-68.665463
"Roger P Clapp Greenhouse",44.897170,-68.668820
"Rogers Hall",44.898549,-68.668290
"Sawyer Environmental Rsch",44.894251,-68.666949
"Shibles Hall",44.900643,-68.667292
"Social Work Building",44.895099,-68.665951
"South Annex A",44.895486,-68.665817
"South Annex B",44.895346,-68.665801
"South Annex C",44.895099,-68.665951
"Stevens Hall",44.900506,-68.668708
"Stevens Hall North",44.900898,-68.668756
"Stevens Hall South",44.900506,-68.668708
"Student Innovations Center",44.902900,-68.663843
"Student Rec &amp; Fitness Ctr Pool",44.905187,-68.664299
"The Maples",44.898188,-68.669878
"Winslow Hall",44.898485,-68.669888
"Witter Center",44.914323,-68.679174
"Witter Center Farm",44.914323,-68.679174
