"Crossland Lot",44903443,-68673012
"Corbett Lot",44903536,-68671554
"Field House Lot",44904255,-68670142
"Bennett Lot",44903273,-68668198
"Cutler Lot",44903759,-68667202
"near Adroscoggin",44903895,-68665125
"Hilltop Lot",44904771,-68662141
"Steam Plant Lot",44900157,-68673217
"Jenness Lot",44902672,-68665413
"AEWC Lot",44902069,-68664483
"AEWC Advanced Structures Lot",44901724,-68665773
"CCA Lot",44899988,-68665473
"Keyo Public Affairs Lot",44900735,-68661642
"The Depot Lots",44899346,-68660609
"Norman Smith Lots",44898546,-68666972
"Small Animal Research Building Lot",44897745,-68666676
"next to Hitchner",44897304,-68667152
"Nutting Hall",44896973,-68666454
"Merrill Lot",44897923,-68668991
"Deering Hall Lot",44896218,-68668577
"Carnegie Lot",44897691,-68671267
"Libby Hall Lot",44895350,-68666904
"Edward Bryand Global Sciences Center Lot",44894653,-68666703
"near Lengyl Field Lot",44893286,-68669357
"Lengyl Gym Lot",44895054,-68672197
"Chadbourne / Stodder Lot",44896447,-68672903
"Phi Kappa Sigma Lot",44894417,-68674041
"Libby / Fogler Lot",44899193,-68670205
