"College Avenue Lot",44902571,-68673820
"Beta Lot",44902546,-68672612
"Next to Beta Lot",44903020,-68672652
"Steam Plant Lot",44900358,-68673411
"Stodder Lot",44897846,-68672905
"Next to Carnegie",44897353,-68670496
"Next to Merrill",44897159,-68669323
"Behind Estabrooke",44896114,-68670192
"Near Estabrooke",44895790,-68668831
"Aroostook Lots",44894546,-68668553
"Lengyl Field Lot",44893645,-68669430
"AEWC Lot",44901600,-68664345
"Gannett Lot",44903706,-68666187
"Cumberland Lot",44903364,-68665532
"Androscogin Lot",44903698,-68665104
"Knox Hall Lot",44903600,-68664112
"Hilltop Lot",44904564,-68660993
