"Jewett Hall";"44338201";"-69797296";NULL
"Bennett D. Katz Library";"44337697";"-69796397";NULL
"Richard J. Randall Student Technology Center";"44338805";"-69795731";NULL
"Fine Arts Building";"44338043";"-69797188";NULL
"Art & Architecture";"44338561";"-69798436";NULL
"Mail Room / Maine Cite";"44340315";"-69798534";NULL
"Maintenance Garage";"44340413";"-69798944";NULL
"Campus Center / Photography Lab";"44340354";"-69797947";NULL
"Pottery Studio";"44340739";"-69797855";NULL
"Maintenance Office";"44340904";"-69797831";NULL
"Farmhouse";"44340738";"-69797350";NULL
"Civic Center";"44342414";"-69798926";NULL
"Robinson Hall";"44341381";"-69795253";NULL
"Stoddard House";"44340079";"-69793337";NULL
"Michael Klahr Holocaust Education Resource Center";"44337960";"-69795331";NULL
