"Nadeau Hall";"47251561";"-68588780";NULL
"Fox Auditorium";"47250990";"-68588478";NULL
"Cyr Hall";"47250988";"-68588545";NULL
"Crocker Hall";"47250459";"-68587268";NULL
"Physical Plant";"47249923";"-68587039";NULL
"Nowland Hall";"47249888";"-68587778";NULL
"Gagne house";"47249410";"-68588368";NULL
"Guy House";"47249368";"-68588062";NULL
"Powell Hall";"47250047";"-68588855";NULL
"Acadian Archives";"47250211";"-68588921";NULL
"Blake Library";"47250387";"-68589392";NULL
"Old Model School";"47250247";"-68591082";NULL
"Madawaska House";"47250330";"-68591684";NULL
"Haenssler Honors Ctr.";"47249985";"-68592698";NULL
"Acadia House";"47249924";"-68592423";NULL
"St. David House";"47249714";"-68591670";NULL
"N. Cyr House";"47249529";"-68590815";NULL
"The Lodge";"47248997";"-68592895";NULL
"Sports Center";"47249017";"-68591916";NULL
"Alumni Memorial Field";"47248293";"-68590864";NULL
