"Merriman Hall";"46669167";"-68015973";NULL
"Park Hall";"46670249";"-68014758";NULL
"Emerson Hall";"46670872";"-68015328";NULL
"Campus Center";"46670158";"-68015844";NULL
"Kelley Commons";"46669892";"-68016371";NULL
"Library";"46670906";"-68016604";NULL
"Facilities Support Building";"46670579";"-68018440";NULL
"Wieden Hall";"46671297";"-68017494";NULL
"President's House";"46671563";"-68015168";NULL
"South Hall";"46672017";"-68015707";NULL
"Preble Hall";"46672300";"-68016277";NULL
"Normal Hall";"46672712";"-68016304";NULL
"Pullen Hall";"46672030";"-68017347";NULL
"Folsom Hall";"46672315";"-68017168";NULL
"C. Gentile Health and Physical Education Building";"46671685";"-68018819";NULL
