"**Center of Campus**";"46670258";"-68013961";"centerofcampus"
"Lower Merriman Lot";"46669099";"-68015599";"student"
"Upper Merriman Lot";"46669319";"-68016571";"student"
"Kelley Parking Lot";"46669813";"-68016896";"student"
"Library Lot";"46670348";"-68017129";"student"
"Tennis Court Lot";"46669924";"-68018266";"student"
"North Lot";"46672538";"-68018219";"student"
"Gentile Lot";"46672384";"-68019368";"student"
"Upper Merriman Lot";"46669319";"-68016571";"visitor"
"Kelley Parking Lot";"46669813";"-68016896";"visitor"
"Tennis Court Lot";"46669924";"-68018266";"visitor"
"Main Street Lot";"46672604";"-68015738";"visitor"
"Gentile Lot";"46672384";"-68019368";"visitor"
"Library Lot";"46670482";"-68016863";"faculty"
"Tennis Court Lot";"46670091";"-68018314";"faculty"
"Wieden Lot";"46670946";"-68017345";"faculty"
"South Lot";"46671861";"-68016072";"faculty"
"Preble Lot";"46672523";"-68016741";"faculty"
"North Lot";"46672794";"-68017808";"faculty"
