"**Center of Portland Campus**";"43662183";"-70275296";"centerofcampus";"1"
"Luther Bonney Hall Lot";"43662557";"-70275740";"employee";"1"
"Brighton Ave Lot";"43661547";"-70277455";"employee";"1"
"The Wishcamper Center Lot";"43661671";"-70273331";"employee";"1"
"Deering Ave Lot";"43660753";"-70278506";"employee";"1"
"Woodbury Campus Center Lot";"43663225";"-70274150";"employee";"1"
"Sullivan Complex Lot";"43663435";"-70274755";"employee";"1"
"Science Building Lot";"43663300";"-70276102";"employee";"1"
"Payson Smith Hall Lot";"43661932";"-70278168";"employee";"1"
"118 Bedford Street Lot";"43660963";"-70276672";"employee";"1"
"120 Bedford Street Lot";"43660744";"-70277047";"employee";"1"
"Parking Garage";"43661402";"-70274303";"employee";"1"
"The Wishcamper Center Lot";"43661671";"-70273331";"meters";"1"
"Deering Ave Lot";"43660753";"-70278506";"meters";"1"
"Payson Smith Hall Lot";"43661932";"-70278168";"meters";"1"
"Bedford Street Lot";"43662563";"-70274901";"resident";"1"
"Deering Ave Lot - After 4:30 pm";"43660753";"-70278506";"resident";"1"
"Parking Garage";"43661402";"-70274303";"resident";"1"
"**Center of Gorham Campus**";"43682210";"-70449068";"centerofcampus";"2"
"Admission Office Lot";"43679825";"-70451762";"employee";"2"
"Bailey Hall Lot";"43680325";"-70448330";"employee";"2"
"College Ave Lot";"43679521";"-70448045";"employee";"2"
"Corthell Hall Lot";"43680526";"-70447116";"employee";"2"
"19 College Ave Lot";"43680413";"-70445215";"employee";"2"
"7 College Ave Lot";"43680555";"-70444290";"employee";"2"
"Russel Hall Lot";"43681622";"-70447547";"employee";"2"
"62 School St Lot";"43681461";"-70444287";"employee";"2"
"Anderson Hall Lot";"43682161";"-70448612";"employee";"2"
"128 School St Lot";"43683882";"-70446366";"employee";"2"
"McLellan House Lot";"43684643";"-70446892";"employee";"2"
"Upperclass Hall Lot";"43680939";"-70450353";"commuter";"2"
"51 College Ave Lot";"43679905";"-70448144";"commuter";"2"
"John Mitchell Center Lot";"43682290";"-70451397";"commuter";"2"
"Sports Complex Lot";"43682325";"-70449823";"commuter";"2"
"Campus Ave Lot";"43681539";"-70451207";"commuter";"2"
"Husky Dr Lot";"43680579";"-70451736";"resident";"2"
"Woodward Hall Lot";"43681500";"-70448442";"resident";"2"
"Upton-Hastings Hall Lot";"43682188";"-70446053";"resident";"2"
"62 School St Lot";"43681461";"-70444287";"resident";"2"
"128 School St Lot";"43683882";"-70446366";"resident";"2"
"McLellan House Lot";"43684643";"-70446892";"resident";"2"
"Philippi Hall Lot";"43684234";"-70447654";"resident";"2"
"Dickey-Wood Hall Lot";"43684349";"-70448987";"resident";"2"
"Central Heating Plant Lot";"43684025";"-70450156";"resident";"2"
"Softball Field Lot";"43684413";"-70450618";"resident";"2"
"Admission Office Lot";"43679465";"-70451815";"visitor";"2"
"Bailey Hall Lot";"43680325";"-70448330";"visitor";"2"
"Sports Complex Lot";"43682325";"-70449823";"visitor";"2"
"Corthell Hall Lot";"43680526";"-70447116";"visitor";"2"
"Upton-Hastings Hall Lot";"43682188";"-70446053";"visitor";"2"
"128 School St Lot";"43683882";"-70446366";"visitor";"2"
